COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "src/runner.py", "--label", "paired_07_a0", "--mode", "paired", "--order", "BA"]
{"phase": "initialized", "mode": "paired", "order": "BA"}
{"seconds": 0.34263014199677855, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "warmup", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23713200799829792, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "warmup", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23702762099856045, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 0, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23768901600124082, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 1, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2357767680005054, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 2, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.2364067129965406, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 3, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23827815699769417, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 4, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23579836299904855, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 5, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
{"seconds": 0.23658748999878298, "batches": 120, "input_pointer": 133898122035200, "method": "B", "phase": "retained", "iteration": 6, "hash": "13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495", "count": 3926078}
