COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "-u", "src/runner.py", "--index", "3"]
{"layout": "interleaved", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.7030406060002861, "inner_seconds": 0.6153389899991453}
{"layout": "interleaved", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.25344957200286444, "inner_seconds": 0.1662149789990508}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.253067015997658, "inner_seconds": 0.16498491299716989}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.25261925399536267, "inner_seconds": 0.16565216299932217}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.2513358910000534, "inner_seconds": 0.16455871300422587}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.25245778600219637, "inner_seconds": 0.1655270319970441}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.2545999930007383, "inner_seconds": 0.16781479099881835}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.2542758350027725, "inner_seconds": 0.16683529000147246}
{"layout": "interleaved", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.25141454600088764, "inner_seconds": 0.16498064500046894}
{"layout": "interleaved", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.26311695400363533, "inner_seconds": 0.17667916800564853}
{"layout": "interleaved", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.2487880250046146, "inner_seconds": 0.16158387600444257}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.2492150699981721, "inner_seconds": 0.16270423300011316}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24675792599737179, "inner_seconds": 0.16162492999865208}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.24605365499883192, "inner_seconds": 0.16063174499868182}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 3, "seconds": 0.24559193100139964, "inner_seconds": 0.16076884600624908}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 4, "seconds": 0.24904393500037258, "inner_seconds": 0.16094154099846492}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 5, "seconds": 0.2515816530067241, "inner_seconds": 0.16409722300159046}
{"layout": "interleaved", "method": "F8", "phase": "retained", "i": 6, "seconds": 0.2507611869950779, "inner_seconds": 0.16519435399823124}
{"layout": "clustered", "method": "F16", "phase": "warmup", "i": 0, "seconds": 0.24732668999786256, "inner_seconds": 0.16270968900062144}
{"layout": "clustered", "method": "F16", "phase": "warmup", "i": 1, "seconds": 0.2467414450002252, "inner_seconds": 0.16178168099577306}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 0, "seconds": 0.24617486500210362, "inner_seconds": 0.16128991200093878}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 1, "seconds": 0.2467656500011799, "inner_seconds": 0.16173785199498525}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 2, "seconds": 0.24787611100327922, "inner_seconds": 0.1616398520054645}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 3, "seconds": 0.246201886999188, "inner_seconds": 0.16208950000145705}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 4, "seconds": 0.24627560200315202, "inner_seconds": 0.16137400700245053}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 5, "seconds": 0.24599273600324523, "inner_seconds": 0.16096848199958913}
{"layout": "clustered", "method": "F16", "phase": "retained", "i": 6, "seconds": 0.24543141899630427, "inner_seconds": 0.16040843200607924}
{"layout": "clustered", "method": "F8", "phase": "warmup", "i": 0, "seconds": 0.2434677759956685, "inner_seconds": 0.15904451100504957}
{"layout": "clustered", "method": "F8", "phase": "warmup", "i": 1, "seconds": 0.2430028430026141, "inner_seconds": 0.1584675080011948}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 0, "seconds": 0.24370396199810784, "inner_seconds": 0.15884052999899723}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 1, "seconds": 0.24255219999758992, "inner_seconds": 0.1580836389985052}
{"layout": "clustered", "method": "F8", "phase": "retained", "i": 2, "seconds": 0.2423576739965938, "inner_seconds": 0.15775388899783138}
