cell,method,stage1_accepted,fp32_queue,stage2_accepted,stage2_rejected,fp64_queue,upper_output,stage1_gpu_ms,stage2_gpu_ms,terminal_gpu_ms,preparation_seconds,canonicalization_seconds,output_download_seconds,diagnostic_seconds
k4,F8,133900,118818,44715,74013,90,178659,15.540256015956402,4.147424008697271,2.3915840117260814,0.020318364011473022,0.006520536000607535,0.002424413018161431,0.06121514400001615
k4,F16,176234,4865,2381,2394,90,178659,18.200256042182446,4.735232010483742,2.5460160048678517,0.021089635993121192,0.0063040230015758425,0.002449587918817997,0.06545381399337202
k16,F8,356562,472673,181677,290592,404,538429,14.685088105499744,4.1671359948813915,3.363200008869171,0.020188745998893864,0.020675652005593292,0.003041573931113817,0.07601713101030327
k16,F16,527912,21101,10327,10370,404,538429,18.249184027314186,4.705536015331745,3.4947520038113,0.020563426995067857,0.02087623899569735,0.003150662043481134,0.08125513499544468
k64,F8,1257881,1798393,702760,1093948,1685,1961499,15.21651205420494,6.083167988806963,3.4945920016616583,0.023308440009714104,0.09538540600624401,0.008614924940047786,0.16252862600958906
k64,F16,1919302,84596,41339,41572,1685,1961499,18.846015997231007,6.058688007295132,3.6655360013246536,0.023331296994001605,0.09532106999540702,0.010014445128035732,0.1679716539947549
original,F8,1278504,1827007,713664,1111609,1734,1993039,15.20387202501297,6.157952003180981,3.5434879940003157,0.023027126007946208,0.10010305300238542,0.009727743905386887,0.16820779000408947
original,F16,1950364,86029,41804,42491,1734,1993039,18.712255999445915,4.914335988461971,3.6368000097572803,0.023291412013350055,0.09640208799100947,0.009252004048903473,0.16685742800473236
k256,F8,5031643,6797360,2709523,4080667,7170,7744714,18.895007967948914,13.652768097817898,3.636544017121196,0.021609051997074857,0.5095221270021284,0.035112160025164485,0.6144413489964791
k256,F16,7573863,343252,167303,168779,7170,7744714,20.69945603609085,5.323295973241329,3.7770879976451397,0.02104900500853546,0.46624678300577216,0.03565107990289107,0.5655812180048088
k1024,F8,20667996,24559702,10077636,14454206,27860,30759403,26.638271987438202,38.693952068686485,3.7288959939032793,0.022556719995918684,2.082125211993116,0.13904019187611993,2.3271858549996978
k1024,F16,30117376,1290141,628256,634025,27860,30759403,24.834176003932953,6.516704015433788,3.7482559755444527,0.02121618200908415,2.0867829530034214,0.1400221329240594,2.297389234008733
