block,process,cell,method,phase,iteration,position,seconds,output_sha256
explore,0,k4,F8,warmup,0,0,0.08513061299163383,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F16,warmup,0,1,0.49372801699792035,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F8,retained,0,0,0.05411661200923845,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F16,retained,0,1,0.05868548300350085,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F16,retained,1,0,0.0588950940000359,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F8,retained,1,1,0.05368969700066373,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F8,retained,2,0,0.053710125997895375,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k4,F16,retained,2,1,0.05851358000654727,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
explore,0,k16,F16,warmup,0,0,0.08220157399773598,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F8,warmup,0,1,0.07072871799755376,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F16,retained,0,0,0.07471678100409918,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F8,retained,0,1,0.07004592799057718,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F8,retained,1,0,0.07074901499436237,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F16,retained,1,1,0.0746305869979551,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F16,retained,2,0,0.07466609901166521,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k16,F8,retained,2,1,0.0699770679930225,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
explore,0,k64,F8,warmup,0,0,0.14858801299124025,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F16,warmup,0,1,0.16141648999473546,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F8,retained,0,0,0.15658292299485765,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F16,retained,0,1,0.15833124099299312,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F16,retained,1,0,0.15848143100447487,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F8,retained,1,1,0.15582472999813035,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F8,retained,2,0,0.1553376380034024,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,k64,F16,retained,2,1,0.15948254700924736,4863a23e3edeb18d5e72d89fb0e25c0dbaea17762bbc98a7159803be72407a80
explore,0,original,F16,warmup,0,0,0.16403522000473458,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F8,warmup,0,1,0.1585970010055462,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F16,retained,0,0,0.16051637299824506,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F8,retained,0,1,0.1581980650080368,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F8,retained,1,0,0.15768317999027204,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F16,retained,1,1,0.1601412239979254,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F16,retained,2,0,0.16131868500087876,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,original,F8,retained,2,1,0.15881734699360095,13cae87e6a0f75a13f3e9a7881b33c42ab77680f6d13e99dcc00fa2de5963495
explore,0,k256,F8,warmup,0,0,0.5660609049955383,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F16,warmup,0,1,0.5618754679890117,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F8,retained,0,0,0.5639988409966463,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F16,retained,0,1,0.5600446419994114,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F16,retained,1,0,0.5584463450068142,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F8,retained,1,1,0.5623933210008545,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F8,retained,2,0,0.5639228740037652,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k256,F16,retained,2,1,0.5605898790090578,49160b0fece513842a1194c0aaca5b2d06de6de417533c401ac0c383b2e70611
explore,0,k1024,F16,warmup,0,0,2.2975872560054995,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
explore,0,k1024,F8,warmup,0,1,2.3182751720014494,1aa5d88ffa1f87e75ad08af781637cb073d2c862378f6b4dcf84f2a56c3d6fe3
