COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "@TENSORJOIN_ROOT@/tensorjoin_20260902_certified_exact_join/precision_routing_20260908_threshold_sweep/src/runner.py", "--phase", "confirm", "--index", "0"]
{"cell": "k4", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.08556273000431247}
{"cell": "k4", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.49005505799141247}
{"cell": "k4", "method": "F16", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.06212537099781912}
{"cell": "k4", "method": "F8", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.05419336599879898}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.05379843899572734}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.05836752000323031}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.058570330002112314}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.05353436998848338}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.05351411701121833}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.05824343599670101}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.05910357199900318}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.05356940299679991}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.05365349100611638}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.05819278198760003}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.058312459994340315}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.053651367998099886}
{"cell": "k16", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.0836841540003661}
{"cell": "k16", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.07011710999358911}
{"cell": "k16", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.06990854800096713}
{"cell": "k16", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.07462792900332715}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.07415954199677799}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.06956196299870498}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.06957735000469256}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.07411292799224611}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.07419404199754354}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.06955776899121702}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.06954837500234134}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.07418755299295299}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.07418205800058786}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.06967636400077026}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.06959660699067172}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.07431399601045996}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.14895751400035806}
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.16034891399613116}
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.16057946800719947}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.1569562390068313}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.15541550300258677}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.15943992498796433}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.15917435099254362}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.15683345300203655}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.1560085329983849}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.15930034600023646}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 3, "position": 0, "seconds": 0.15970001900859643}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 3, "position": 1, "seconds": 0.1578525160002755}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 4, "position": 0, "seconds": 0.1564758409949718}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 4, "position": 1, "seconds": 0.1596746040013386}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 5, "position": 0, "seconds": 0.15914875999442302}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 5, "position": 1, "seconds": 0.15757627099810634}
{"cell": "original", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.16380783999920823}
{"cell": "original", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.1581628090061713}
{"cell": "original", "method": "F8", "phase": "warmup", "iteration": 1, "position": 0, "seconds": 0.15832890498859342}
{"cell": "original", "method": "F16", "phase": "warmup", "iteration": 1, "position": 1, "seconds": 0.16059599799336866}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.1610042280080961}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.15834274899680167}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.15857153199613094}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.16017493199615274}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.1605945810006233}
