COMMAND ["@TENSORJOIN_ROOT@/isaacsim6/env/bin/python", "@TENSORJOIN_ROOT@/tensorjoin_20260902_certified_exact_join/precision_routing_20260908_threshold_sweep/src/runner.py", "--phase", "explore", "--index", "1"]
{"cell": "k4", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.5072246079944307}
{"cell": "k4", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.06806394099839963}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.06347758098854683}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.05487888598872814}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.05406919401139021}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.0596763459907379}
{"cell": "k4", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.05872910699690692}
{"cell": "k4", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.0539695089973975}
{"cell": "k1024", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 2.3414061660005245}
{"cell": "k1024", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 2.2966035900026327}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 2.326125902996864}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 2.291354371001944}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 2.296068961994024}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 2.3224247049947735}
{"cell": "k1024", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 2.321201896003913}
{"cell": "k1024", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 2.287033339991467}
{"cell": "k256", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.5587447959987912}
{"cell": "k256", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.5662520480109379}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.5636920930119231}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.5640970920067048}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.5659789520141203}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.5611108510056511}
{"cell": "k256", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.5620991229952779}
{"cell": "k256", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.567040841007838}
{"cell": "original", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.157767500000773}
{"cell": "original", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.16490230000636075}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.15882459901331458}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.16212113198707812}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.16076199398958124}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.159179556008894}
{"cell": "original", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.16479027099558152}
{"cell": "original", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.1632220080064144}
{"cell": "k64", "method": "F16", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.16082945599919185}
{"cell": "k64", "method": "F8", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.15583637899544556}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.15773405200161505}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.1558086699951673}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.15819969298900105}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.15971115200954955}
{"cell": "k64", "method": "F16", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.15775987500092015}
{"cell": "k64", "method": "F8", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.1559402470011264}
{"cell": "k16", "method": "F8", "phase": "warmup", "iteration": 0, "position": 0, "seconds": 0.08103546900383662}
{"cell": "k16", "method": "F16", "phase": "warmup", "iteration": 0, "position": 1, "seconds": 0.07754565299546812}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 0, "position": 0, "seconds": 0.07045485399430618}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 0, "position": 1, "seconds": 0.07498244299495127}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 1, "position": 0, "seconds": 0.07453259199974127}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 1, "position": 1, "seconds": 0.07024702099442948}
{"cell": "k16", "method": "F8", "phase": "retained", "iteration": 2, "position": 0, "seconds": 0.07011541801330168}
{"cell": "k16", "method": "F16", "phase": "retained", "iteration": 2, "position": 1, "seconds": 0.07485887600341812}
{"phase": "explore", "index": 1, "pass_": true, "calls": 48}
