"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Body Item Label","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Instructions Executed","inst","40142241",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Local Memory Spilling Requests","byte","0",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Shared Memory Spilling Requests","byte","0",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Avg. Executed Instructions Per Scheduler","inst","53331.15",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Executed Instructions","inst","40105025",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Avg. Issued Instructions Per Scheduler","inst","53341.97",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","","Issued Instructions","inst","40113165",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","Executed Instruction Categories","Executed Instructions by SASS Opcode Category","","40142241 (30769200; 4442357; 2765409; 691020; 558492; 432432; 331512; 151819)",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Instruction Statistics","Executed Instruction Mix","Executed Warp-Level Instructions By Basic SASS Opcode","","40142241 (30395904; 2978976; 1025112; 842688; 698289; 421344; 417648; 340032; 254100; 210672; 199584; 177933; 177408; 177408; 177408; 145992; 132132; 130876; 129277; 109124; 103356; 102036; 85932; 75768; 72468; 66528; 64680; 64680; 63096; 59136; 53460; 32340; 22968; 22176; 16217; 13528; 13528; 10756; 10164; 9405; 8316; 5544; 5461; 2852; 2772; 2772; 2772; 2772; 2772; 693; 693; 693)",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Block Size","","128",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Cluster Scheduling Policy","","PolicySpread",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Cluster Size","","0",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Function Cache Configuration","","CachePreferNone",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Grid Size","","792",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Preferred Cluster Size","","0",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Registers Per Thread","register/thread","130",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Shared Memory Configuration Size","Kbyte","102.40",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Driver Shared Memory Per Block","Kbyte/block","1.02",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Dynamic Shared Memory Per Block","Kbyte/block","30.72",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","Static Shared Memory Per Block","byte/block","0",
"0","4180276","python3.12","127.0.0.1","void Kernel2<cutlass_80_simt_sgemm_128x64_8x5_tn_align1>(Params)","1","7","(128, 1, 1)","(88, 3, 3)","0","12.0","Launch Statistics","","# SMs","SM","188",
