Generating SQLite file artifacts/h2b_p2/nsys_esc50_panns.sqlite from artifacts/h2b_p2/nsys_esc50_panns.nsys-rep
Processing [artifacts/h2b_p2/nsys_esc50_panns.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_gpu_trace.py](nvtx-name)... 
Start (ns),Duration (ns),CorrId,GrdX,GrdY,GrdZ,BlkX,BlkY,BlkZ,Reg/Trd,StcSMem (MB),DymSMem (MB),Bytes (MB),Throughput (MB/s),SrcMemKd,DstMemKd,Device,Ctx,GreenCtx,Strm,Name
2869795614,576244,1330,,,,,,,,,,5.243,9096.397,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memcpy Host-to-Device]
2870842664,2153811,1352,,,,,,,,,,20.972,9730.785,Pageable,Device,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memcpy Host-to-Device]
2948778007,352,1462,,,,,,,,,,0.000,568.182,Device,,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memset]
2949043922,149084,1463,40,2,11,256,1,1,212,0.000,0.049,,,,,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,H2B_P2_PEDANTIC_SGEMM_esc50_panns/void cutlass::Kernel2<cutlass_80_simt_sgemm_256x128_8x4_tn_align1>(T1::Params)
2949333899,2981539,1474,,,,,,,,,,6.554,2195.456,Device,Pageable,NVIDIA RTX PRO 6000 Blackwell Server Edition (0),1,,7,[CUDA memcpy Device-to-Host]

Processing [artifacts/h2b_p2/nsys_esc50_panns.sqlite] with [/opt/nvidia/nsight-systems/2025.5.2/host-linux-x64/reports/cuda_api_trace.py]... 
Start (ns),Duration (ns),Name,Result,CorrID,Pid,Tid,T-Pri,Thread Name
2066124379,4141,cuModuleGetLoadingMode,0,1,4178377,4178377,20,python
2133876325,1653,cudaGetDeviceProperties_v12000,0,120,4178377,4178377,20,python
2134257859,291,cudaGetDeviceProperties_v12000,0,128,4178377,4178377,20,python
2473297565,5721,cuCtxSetCurrent,0,132,4178377,4178377,20,python
2473490934,6276,cuGetProcAddress_v2,0,133,4178377,4178377,20,python
2473497562,940,cuGetProcAddress_v2,0,134,4178377,4178377,20,python
2473499129,863,cuGetProcAddress_v2,0,135,4178377,4178377,20,python
2473500293,217,cuGetProcAddress_v2,0,136,4178377,4178377,20,python
2473500709,1037,cuGetProcAddress_v2,0,137,4178377,4178377,20,python
2473502053,737,cuGetProcAddress_v2,0,138,4178377,4178377,20,python
2473503113,702,cuGetProcAddress_v2,0,139,4178377,4178377,20,python
2473504001,660,cuGetProcAddress_v2,0,140,4178377,4178377,20,python
2473504982,765,cuGetProcAddress_v2,0,141,4178377,4178377,20,python
2473506070,747,cuGetProcAddress_v2,0,142,4178377,4178377,20,python
2473506991,898,cuGetProcAddress_v2,0,143,4178377,4178377,20,python
2473508257,853,cuGetProcAddress_v2,0,144,4178377,4178377,20,python
2473509304,634,cuGetProcAddress_v2,0,145,4178377,4178377,20,python
2473510216,843,cuGetProcAddress_v2,0,146,4178377,4178377,20,python
2473511397,721,cuGetProcAddress_v2,0,147,4178377,4178377,20,python
2473512260,592,cuGetProcAddress_v2,0,148,4178377,4178377,20,python
2473513011,1016,cuGetProcAddress_v2,0,149,4178377,4178377,20,python
2473514312,391,cuGetProcAddress_v2,0,150,4178377,4178377,20,python
2473514849,792,cuGetProcAddress_v2,0,151,4178377,4178377,20,python
2473515917,682,cuGetProcAddress_v2,0,152,4178377,4178377,20,python
