layout,kind,cell,parent,child,full_offdiag_occupied_parents,active_child_quantiles,mean_active_children,active_child_fraction,top_child_mass_quantiles,at_most_quarter_children_fraction,capacity_reduction,subtile_opportunity_gate
original,oracle,k4,256,64,25691,"[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 15.0]",3.5262932544470824,0.22039332840294265,"[0.09090909090909091, 0.3, 0.4, 0.5, 1.0, 1.0, 1.0]",0.7248063524191352,0.7787303451117794,True
original,oracle,k4,64,16,91109,"[1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 6.0]",1.2370237846974503,0.07731398654359065,"[0.16666666666666666, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]",0.999242665378832,0.9216503668081139,True
original,oracle,k16,256,64,27259,"[1.0, 7.0, 9.0, 11.0, 13.0, 15.0, 16.0]",8.998422539344803,0.5624014087090502,"[0.08333333333333333, 0.18181818181818182, 0.22727272727272727, 0.2857142857142857, 0.35294117647058826, 0.5, 1.0]",0.04611321031585898,0.43704270932262035,True
original,oracle,k16,64,16,246761,"[1.0, 1.0, 1.0, 2.0, 3.0, 5.0, 10.0]",1.7333776407130785,0.10833610254456741,"[0.1111111111111111, 0.5, 1.0, 1.0, 1.0, 1.0, 1.0]",0.9785257800057545,0.8912608775559068,True
original,oracle,k64,256,64,27261,"[6.0, 14.0, 15.0, 16.0, 16.0, 16.0, 16.0]",14.901617695609112,0.9313511059755695,"[0.07142857142857142, 0.12987012987012986, 0.15, 0.17567567567567569, 0.20454545454545456, 0.26803135888501806, 0.3880597014925373]",0.0,0.06859092792897892,False
original,oracle,k64,64,16,408476,"[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 16.0]",3.5567866900380927,0.2222991681273808,"[0.08333333333333333, 0.2857142857142857, 0.4, 0.5, 1.0, 1.0, 1.0]",0.7162844328675368,0.77747357364657,True
original,oracle,original,256,64,27261,"[6.0, 14.0, 15.0, 16.0, 16.0, 16.0, 16.0]",14.940391034811636,0.9337744396757273,"[0.08148148148148149, 0.12941176470588237, 0.15, 0.175, 0.20408163265306123, 0.2682926829268293, 0.37681159420289856]",0.0,0.06616181285867462,False
original,oracle,original,64,16,409541,"[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 16.0]",3.595893939800899,0.2247433712375562,"[0.07692307692307693, 0.2857142857142857, 0.4, 0.5, 1.0, 1.0, 1.0]",0.7088350128558557,0.7750305551056212,True
original,oracle,k256,256,64,27261,"[14.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.995304647665163,0.9997065404790727,"[0.07331378299120235, 0.1015625, 0.11284046692607004, 0.12698412698412698, 0.1417910447761194, 0.1724137931034483, 0.2366412213740458]",0.0,0.0002992305683794383,False
original,oracle,k256,64,16,438386,"[1.0, 7.0, 9.0, 11.0, 13.0, 15.0, 16.0]",8.981251682307374,0.5613282301442108,"[0.07142857142857142, 0.18181818181818182, 0.2222222222222222, 0.2857142857142857, 0.35294117647058826, 0.5294117647058824, 1.0]",0.054214778756620875,0.43859347953885386,True
original,oracle,k1024,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06879194630872483, 0.08646616541353383, 0.09325044404973357, 0.10159362549800798, 0.11075697211155379, 0.12941530562563627, 0.15730337078651685]",0.0,0.0,False
original,oracle,k1024,64,16,438516,"[6.0, 14.0, 15.0, 16.0, 16.0, 16.0, 16.0]",14.94190633865127,0.9338691461657044,"[0.07407407407407407, 0.12844036697247707, 0.14814814814814814, 0.17333333333333334, 0.20238095238095238, 0.26666666666666666, 0.5333333333333333]",0.0,0.06613280000888877,False
original,r16,k4,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0659075979855485, 0.0748158379373849, 0.07846003898635477, 0.08290924512298559, 0.08748906386701662, 0.09685656548154797, 0.114]",0.0,0.0,False
original,r16,k4,64,16,438516,"[15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.999813005682803,0.9999883128551752,"[0.07033639143730887, 0.09414758269720101, 0.10256410256410256, 0.11320754716981132, 0.125, 0.15100671140939598, 0.22093023255813954]",0.0,1.1946467558865415e-05,False
original,r16,k16,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06490490933215391, 0.07217754250229054, 0.07517627540439652, 0.07880617035546612, 0.08258020786262991, 0.09008652513489168, 0.10362748155077435]",0.0,0.0,False
original,r16,k16,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0674373795761079, 0.08610567514677103, 0.09245283018867924, 0.10033444816053512, 0.1088560885608856, 0.12734864300626306, 0.17570093457943925]",0.0,0.0,False
original,r16,k64,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06443587510884438, 0.07025641025641026, 0.07261512153413949, 0.07555302021930659, 0.07871791722952229, 0.08474178881761214, 0.09547773335171653]",0.0,0.0,False
original,r16,k64,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06645316253002402, 0.08070500927643785, 0.08562367864693446, 0.09156378600823045, 0.09788867562380038, 0.11122554067971163, 0.15027027027027026]",0.0,0.0,False
original,r16,original,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06436440153484342, 0.07023067142943634, 0.0725791287997493, 0.07552678344757553, 0.07866038134102582, 0.08469692945551223, 0.09545672582745152]",0.0,0.0,False
original,r16,original,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06654512306289881, 0.08064516129032258, 0.08555133079847908, 0.09147609147609148, 0.09779179810725552, 0.1111111111111111, 0.1496232508073197]",0.0,0.0,False
original,r16,k256,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06339376655123242, 0.06866112797571497, 0.07044313554966992, 0.07279050736497546, 0.07523600260416667, 0.07998719044037052, 0.08620470976197522]",0.0,0.0,False
original,r16,k256,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0650730411686587, 0.07656145063801209, 0.08034433285509325, 0.08478382930937675, 0.0893854748603352, 0.0988490182802979, 0.12586872586872586]",0.0,0.0,False
original,r16,k1024,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06343559678980022, 0.0672378205671954, 0.06860950637762397, 0.07035369393921441, 0.07222594329091316, 0.07569605194693023, 0.08112489867182142]",0.0,0.0,False
original,r16,k1024,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06454388984509467, 0.07317073170731707, 0.07599309153713299, 0.07921291624621594, 0.08246958089229382, 0.08888888888888889, 0.10965372507869885]",0.0,0.0,False
original,r32,k4,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0696969696969697, 0.08677098150782361, 0.09331259720062209, 0.10115606936416185, 0.10949868073878628, 0.12576382380506093, 0.1523809523809524]",0.0,0.0,False
original,r32,k4,64,16,438516,"[4.0, 13.0, 14.0, 15.0, 16.0, 16.0, 16.0]",13.812620292076002,0.8632887682547501,"[0.07407407407407407, 0.13636363636363635, 0.15789473684210525, 0.18518518518518517, 0.21621621621621623, 0.2857142857142857, 0.5405405405405406]",2.280418502403561e-06,0.1367751070815486,False
original,r32,k16,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06741573033707865, 0.07941325240263025, 0.08429351121892056, 0.08996359854394176, 0.09577338129496403, 0.1068424334452678, 0.12467755803955288]",0.0,0.0,False
original,r32,k16,64,16,438516,"[12.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.931161006667944,0.9956975629167465,"[0.07086614173228346, 0.10810810810810811, 0.12030075187969924, 0.1357142857142857, 0.15315315315315314, 0.19285714285714287, 0.30434782608695654]",0.0,0.004308123753492987,False
original,r32,k64,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06600273384104667, 0.0751597143930853, 0.07897240723120837, 0.08347073371805441, 0.08812421317666806, 0.09722193854043762, 0.11113004942900971]",0.0,0.0,False
original,r32,k64,64,16,438516,"[15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.999908783259905,0.999994298953744,"[0.06818181818181818, 0.09375, 0.10197368421052631, 0.11231884057971014, 0.1238390092879257, 0.14984709480122324, 0.22082018927444794]",0.0,5.688794075697778e-06,False
original,r32,original,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0658961531826807, 0.07512388503468781, 0.07891470118815393, 0.08342420937840785, 0.08800147901645405, 0.09717202410167494, 0.1107920959297416]",0.0,0.0,False
original,r32,original,64,16,438516,"[15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.999915624515411,0.9999947265322132,"[0.06766917293233082, 0.0935672514619883, 0.10179640718562874, 0.11210762331838565, 0.1235632183908046, 0.14950166112956811, 0.219435736677116]",0.0,5.262134520012118e-06,False
original,r32,k256,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06421773547985413, 0.07198250149135017, 0.07494309227805988, 0.07867147529984064, 0.08240435209132257, 0.08950976846299788, 0.09978732454274776]",0.0,0.0,False
original,r32,k256,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0664819944598338, 0.08484005563282336, 0.09075907590759076, 0.09803921568627451, 0.10604262654183427, 0.12357873530936732, 0.17487266553480477]",0.0,0.0,False
original,r32,k1024,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06395168782904924, 0.0694786857322157, 0.07183495770048978, 0.07464861561603911, 0.07751746000297191, 0.08302661574794398, 0.09057227256796675]",0.0,0.0,False
original,r32,k1024,64,16,438516,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.0654911838790932, 0.07866108786610879, 0.08297320656871218, 0.08811305070656691, 0.09358490566037736, 0.1051028179741051, 0.1406672678088368]",0.0,0.0,False
original,r64,k4,256,64,27261,"[9.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.229595392685521,0.9518497120428451,"[0.0784313725490196, 0.12244897959183673, 0.13924050632911392, 0.16, 0.18181818181818182, 0.23076923076923078, 0.3333333333333333]",0.0,0.04839229568396086,False
original,r64,k4,64,16,417442,"[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 14.0]",3.496885794912826,0.21855536218205163,"[0.08333333333333333, 0.2857142857142857, 0.4, 0.5, 1.0, 1.0, 1.0]",0.7334599776735451,0.781245611301522,True
original,r64,k16,256,64,27261,"[15.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.999596493158725,0.9999747808224203,"[0.07023411371237458, 0.09540636042402827, 0.1040268456375839, 0.1145374449339207, 0.12612612612612611, 0.1494735297354808, 0.20833333333333334]",0.0,3.5270523269015364e-05,False
original,r64,k16,64,16,438505,"[1.0, 8.0, 10.0, 12.0, 13.0, 15.0, 16.0]",10.016170853239986,0.6260106783274991,"[0.06666666666666667, 0.16666666666666666, 0.2, 0.25, 0.3, 0.42857142857142855, 1.0]",0.013817402310121891,0.37406918157152913,True
original,r64,k64,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06909090909090909, 0.08340807174887892, 0.08925476603119584, 0.09640831758034027, 0.10371819960861056, 0.1186363343429787, 0.1425206124852768]",0.0,0.0,False
original,r64,k64,64,16,438516,"[8.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.316743288728347,0.9572964555455217,"[0.07407407407407407, 0.12244897959183673, 0.13924050632911392, 0.16071428571428573, 0.18461538461538463, 0.23880597014925373, 0.41935483870967744]",0.0,0.04273294111764803,False
original,r64,original,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06907378335949764, 0.08327081770442611, 0.08915441176470588, 0.09619686800894854, 0.10350448247758762, 0.11812383093292506, 0.1413551401869159]",0.0,0.0,False
original,r64,original,64,16,438516,"[8.0, 15.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.343018270713042,0.9589386419195651,"[0.07246376811594203, 0.12195121951219512, 0.1388888888888889, 0.16, 0.1836734693877551, 0.23809523809523808, 0.40625]",0.0,0.041090301828302866,False
original,r64,k256,256,64,27261,"[16.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",16.0,1.0,"[0.06553462456885116, 0.0771856130217905, 0.08159392789373814, 0.08673469387755102, 0.09186553759302027, 0.10197164658208417, 0.12198502911006376]",0.0,0.0,False
original,r64,k256,64,16,438516,"[14.0, 16.0, 16.0, 16.0, 16.0, 16.0, 16.0]",15.995721934889492,0.9997326209305932,"[0.07065217391304347, 0.1, 0.11004784688995216, 0.12280701754385964, 0.13690476190476192, 0.16853932584269662, 0.2702702702702703]",0.0,0.0002675155414076924,False
