layout,kind,cell,full_offdiag_occupied_tiles,candidate_count_quantiles,candidate_density_median,few6_fraction,few16_fraction,few64_fraction,oracle_empty_survivor_tiles,oracle_empty_candidate_count_quantiles,oracle_empty_few64_fraction,active_rows_quantiles,active_cols_quantiles,cover8_fraction,cover16_fraction,both_full64_fraction,oracle_empty_cover8_fraction,sparse_exception_gate
original,oracle,k4,91109,"[1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 10.0]",0.000244140625,0.9996487723496033,1.0,1.0,0,,,,,,,,,
original,oracle,k16,246761,"[1.0, 1.0, 2.0, 2.0, 4.0, 7.0, 16.0]",0.00048828125,0.9896053266115796,1.0,1.0,0,,,,,,,,,
original,oracle,k64,408476,"[1.0, 2.0, 4.0, 6.0, 9.0, 15.0, 34.0]",0.0009765625,0.7729756460599888,0.9941489830491878,1.0,0,,,,,,,,,
original,oracle,original,409541,"[1.0, 2.0, 4.0, 6.0, 9.0, 15.0, 34.0]",0.0009765625,0.7662700437807204,0.9937124732322282,1.0,0,,,,,,,,,
original,oracle,k256,438386,"[1.0, 11.0, 16.0, 22.0, 29.0, 43.0, 88.0]",0.00390625,0.06116755553325152,0.5109538169558334,0.9997422362940422,0,,,,,,,,,
original,oracle,k1024,438516,"[9.0, 54.0, 68.0, 83.0, 99.0, 131.0, 236.0]",0.0166015625,0.0,0.00021207892072353117,0.4388004086509956,0,,,,,,,,,
original,r16,k4,438516,"[128.0, 249.0, 277.0, 309.0, 340.0, 402.0, 570.0]",0.067626953125,0.0,0.0,0.0,347407,"[128.0, 249.0, 278.0, 309.0, 340.0, 403.0, 570.0]",0.0,"[36.0, 52.0, 54.0, 56.0, 57.0, 60.0, 64.0]","[38.0, 52.0, 54.0, 56.0, 57.0, 60.0, 64.0]",0.0,0.0,0.0,0.0,False
original,r16,k16,438516,"[307.0, 516.0, 564.0, 616.0, 667.0, 765.0, 1002.0]",0.1376953125,0.0,0.0,0.0,191755,"[307.0, 520.0, 567.0, 619.0, 672.0, 774.0, 997.0]",0.0,"[49.0, 59.0, 60.0, 62.0, 63.0, 64.0, 64.0]","[50.0, 59.0, 60.0, 62.0, 63.0, 64.0, 64.0]",0.0,0.0,0.0007502576872907717,0.0,False
original,r16,k64,438516,"[587.0, 911.0, 980.0, 1054.0, 1124.0, 1257.0, 1539.0]",0.2392578125,0.0,0.0,0.0,30040,"[660.0, 917.0, 985.0, 1061.0, 1134.0, 1273.0, 1467.0]",0.0,"[56.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]","[55.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.0886945972324841,0.0,False
original,r16,original,438516,"[589.0, 917.0, 986.0, 1060.0, 1131.0, 1264.0, 1549.0]",0.24072265625,0.0,0.0,0.0,28975,"[662.0, 923.0, 991.0, 1066.0, 1141.0, 1279.0, 1469.0]",0.0,"[56.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]","[55.0, 62.0, 63.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.09169334756314479,0.0,False
original,r16,k256,438516,"[1003.0, 1433.0, 1521.0, 1612.0, 1699.0, 1858.0, 2178.0]",0.371337890625,0.0,0.0,0.0,130,"[1283.0, 1424.75, 1528.0, 1613.5, 1677.2, 1829.0099999999998, 1879.0]",0.0,"[59.0, 63.0, 64.0, 64.0, 64.0, 64.0, 64.0]","[59.0, 63.0, 64.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.4701630043145518,0.0,False
original,r16,k1024,438516,"[1526.0, 2044.0, 2142.0, 2241.0, 2334.0, 2500.0, 2820.0]",0.52294921875,0.0,0.0,0.0,0,,,"[60.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0]","[60.0, 64.0, 64.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.7915127384177544,,False
original,r32,k4,438516,"[5.0, 32.0, 39.0, 47.0, 55.0, 73.0, 119.0]",0.009521484375,1.5962929516824927e-05,0.006528838172381395,0.9694994025303524,347407,"[5.0, 31.0, 38.0, 46.0, 55.0, 72.0, 119.0]",0.9720817369828472,"[5.0, 18.0, 21.0, 24.0, 26.0, 31.0, 41.0]","[4.0, 18.0, 21.0, 24.0, 26.0, 31.0, 42.0]",0.0009760191190287241,0.19745687728611955,0.0,0.0011312380003857148,True
original,r32,k16,438516,"[38.0, 108.0, 125.0, 144.0, 163.0, 202.0, 298.0]",0.030517578125,0.0,0.0,0.0029280573570861727,191755,"[42.0, 106.0, 123.0, 142.0, 161.0, 200.0, 295.0]",0.00389038095486428,"[20.0, 36.0, 39.0, 42.0, 45.0, 49.0, 56.0]","[17.0, 37.0, 39.0, 42.0, 45.0, 49.0, 57.0]",0.0,0.0,0.0,0.0,False
original,r32,k64,438516,"[139.0, 285.0, 320.0, 357.0, 394.0, 467.0, 652.0]",0.078125,0.0,0.0,0.0,30040,"[152.0, 274.0, 307.0, 342.25, 379.0, 452.0, 600.0]",0.0,"[38.0, 51.0, 53.0, 55.0, 57.0, 60.0, 64.0]","[38.0, 51.0, 53.0, 55.0, 57.0, 60.0, 64.0]",0.0,0.0,0.0,0.0,False
original,r32,original,438516,"[140.0, 288.0, 323.0, 361.0, 398.0, 471.0, 656.0]",0.078857421875,0.0,0.0,0.0,28975,"[153.0, 277.0, 310.0, 346.0, 383.0, 457.0, 609.0]",0.0,"[38.0, 51.0, 54.0, 56.0, 57.0, 60.0, 64.0]","[38.0, 51.0, 54.0, 56.0, 57.0, 60.0, 64.0]",0.0,0.0,0.0,0.0,False
original,r32,k256,438516,"[361.0, 629.0, 689.0, 751.0, 812.0, 929.0, 1173.0]",0.168212890625,0.0,0.0,0.0,130,"[485.0, 570.0, 622.0, 691.5, 735.2, 889.9599999999996, 933.0]",0.0,"[50.0, 59.0, 61.0, 62.0, 63.0, 64.0, 64.0]","[50.0, 59.0, 61.0, 62.0, 63.0, 64.0, 64.0]",0.0,0.0,0.0010330295815888131,0.0,False
original,r32,k1024,438516,"[779.0, 1180.0, 1266.0, 1354.0, 1437.0, 1592.0, 1914.0]",0.30908203125,0.0,0.0,0.0,0,,,"[56.0, 63.0, 63.0, 64.0, 64.0, 64.0, 64.0]","[57.0, 63.0, 63.0, 64.0, 64.0, 64.0, 64.0]",0.0,0.0,0.1613692544855832,,False
original,r64,k4,417442,"[1.0, 2.0, 4.0, 6.0, 8.0, 12.0, 26.0]",0.0009765625,0.8246175516598713,0.9989723123212326,1.0,326333,"[1.0, 2.0, 3.0, 5.0, 7.0, 11.0, 25.0]",1.0,"[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 15.0]","[1.0, 2.0, 3.0, 5.0, 6.0, 9.0, 16.0]",0.9962270207597702,1.0,0.0,0.9979622042514854,True
