cell,method,seconds,preparation_seconds,pre_finalize_seconds,output_finalize_seconds,output_collect_seconds,output_download_bytes,output_gpu_copy_bytes,cub_scratch_bytes,stage_gpu_ms,stage_counts
k4,F8,0.05312779299856629,0.02014261099975556,0.0524160019995179,0.0007031740096863359,0.001327057063463144,2378544,1429272,2931967,"[14.667648017406464, 4.156672012060881, 2.4196160063147545]","[133900, 118818, 44715, 74013, 90, 178659]"
k4,F16,0.05754269800672773,0.020219059006194584,0.056816962009179406,0.0007166990108089522,0.0014040800742805004,2378544,1429272,2931967,"[18.095360055565834, 4.646335989236832, 2.498367987573147]","[176234, 4865, 2381, 2394, 90, 178659]"
k4,F32,0.1355618900124682,0.017701156000839546,0.13489483800367452,0.0006592499994440004,0.0015497830463573337,2378544,1429272,2931967,"[103.15056049823761, 3.912576012313366]","[178402, 520, 1799851078, 178659]"
k16,F8,0.05464899899379816,0.02003894500376191,0.053388416999951005,0.001252596004633233,0.0013126688863849267,8134864,4307432,8815103,"[14.7702079936862, 4.197023991495371, 3.284512000158429]","[356562, 472673, 181677, 290592, 404, 538429]"
k16,F16,0.059248535995720886,0.020159529987722635,0.0577840829937486,0.001456109996070154,0.0014139529957901686,8134864,4307432,8815103,"[18.19084806740284, 4.584800012409687, 3.4266880052164197]","[527912, 21101, 10327, 10370, 404, 538429]"
k16,F32,0.13635865699325223,0.0178600309882313,0.13505691298632883,0.0012941879977006465,0.0015569500246783718,8134864,4307432,8815103,"[103.10867235064507, 3.975264012813568]","[537234, 2383, 1799490383, 538429]"
k64,F8,0.07459841499803588,0.023075484001310542,0.059143795995623805,0.015445722005097196,0.0013315489777596667,30903984,15691992,32091135,"[15.072224020957947, 6.127744015306234, 3.454304000362754]","[1257881, 1798393, 702760, 1093948, 1685, 1961499]"
k64,F16,0.0767133050103439,0.023582412002724595,0.06196219701087102,0.014742159997695126,0.0014354309969348833,30903984,15691992,32091135,"[18.43916790187359, 4.635872017592192, 3.5809919871389866]","[1919302, 84596, 41339, 41572, 1685, 1961499]"
k64,F32,0.15306665300158784,0.017782998009352013,0.13506442701327614,0.01799297600518912,0.0015597070596413687,30903984,15691992,32091135,"[103.24160006642342, 3.972191985696554]","[1956632, 9651, 1798063717, 1961499]"
original,F8,0.07423011699575,0.023179965995950624,0.05921851699531544,0.015002637999714352,0.001335493943770416,31408624,15944312,32606975,"[15.050015971064568, 6.1612800024449825, 3.4275520015507936]","[1278504, 1827007, 713664, 1111609, 1734, 1993039]"
original,F16,0.07759778600302525,0.023660841994569637,0.062096106994431466,0.01549168600467965,0.0014326928940135986,31408624,15944312,32606975,"[18.453759886324406, 4.647104013711214, 3.5956800039857626]","[1950364, 86029, 41804, 42491, 1734, 1993039]"
original,F32,0.15631855800165795,0.01786219800123945,0.13792025900329463,0.018385784002020955,0.0016473041468998417,31408624,15944312,32606975,"[103.18624010682106, 4.036415982991457]","[1988229, 9676, 1798032095, 1993039]"
k256,F8,0.13755928300088271,0.020521558995824307,0.0653665279969573,0.07218236100743525,0.0013539109495468438,123435424,61957712,126678783,"[16.503647953271866, 13.587936036288738, 3.42803200148046]","[5031643, 6797360, 2709523, 4080667, 7170, 7744714]"
k256,F16,0.13256109099893365,0.02080867400218267,0.06011262800893746,0.07243799598654732,0.0014878199581289664,123435424,61957712,126678783,"[19.091199964284897, 4.705887991935015, 3.655392011627555]","[7573863, 343252, 167303, 168779, 7170, 7744714]"
k256,F32,0.2075323019962525,0.017758963993401267,0.13523653999436647,0.07228384399786592,0.0016008589445846155,123435424,61957712,126678783,"[103.22105610370636, 4.038079999387264]","[7725226, 39219, 1792265555, 7744714]"
k1024,F8,0.38513163800234906,0.020717256993521005,0.09962486900622025,0.28549776000727434,0.001573006942635402,491670448,246075224,503096575,"[25.036895975470543, 38.782272055745125, 3.406208010390401]","[20667996, 24559702, 10077636, 14454206, 27860, 30759403]"
k1024,F16,0.3501631460094359,0.020860121003352106,0.06457913700432982,0.28557451799861155,0.0016575958579778671,491670448,246075224,503096575,"[22.182303965091705, 5.794431991875172, 3.5860159918665886]","[30117376, 1290141, 628256, 634025, 27860, 30759403]"
k1024,F32,0.42325483399326913,0.01805652299663052,0.13595342100597918,0.2872905330004869,0.0018064590549329296,491670448,246075224,503096575,"[103.30435189604759, 4.289376009255648]","[30686072, 146937, 1769196991, 30759403]"
