block,process,cell,method,output_mode,phase,iteration,position,seconds,output_finalize_seconds,output_download_bytes,output_gpu_copy_bytes,cub_scratch_bytes,peak_allocated_bytes,peak_reserved_bytes,output_sha256
primary,0,k4,F8,legacy,warmup,0,0,0.07972139499906916,0.011691836989484727,1429272,0,0,602064896,612368384,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,gpu_radix,warmup,0,1,0.05242042899772059,0.005448561001685448,2378544,1429272,2931967,610715136,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,legacy,retained,0,0,0.05779777400312014,0.008951679003075697,1429272,0,0,602064896,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,gpu_radix,retained,0,1,0.047180566994939,0.0007001330086495727,2378544,1429272,2931967,610715136,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,gpu_radix,retained,1,0,0.046709570990060456,0.0006950429960852489,2378544,1429272,2931967,610715136,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,legacy,retained,1,1,0.054132788005517796,0.006453648995375261,1429272,0,0,602064896,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,legacy,retained,2,0,0.05362937600875739,0.006380596998496912,1429272,0,0,602064896,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,gpu_radix,retained,2,1,0.04734998699859716,0.0006938800070201978,2378544,1429272,2931967,610715136,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,gpu_radix,retained,3,0,0.04655072800233029,0.0006997669988777488,2378544,1429272,2931967,610715136,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F8,legacy,retained,3,1,0.053893531003268436,0.006433414004277438,1429272,0,0,602064896,635437056,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
primary,0,k4,F16,gpu_radix,warmup,0,0,0.483134797992534,0.000691462992108427,2378544,1429272,2931967,609480704,769654784,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
