block,cell,method,mean_degree,legacy_seconds,new_seconds,speedup,ci_low,ci_high
primary,k4,F8,3.9553,0.053980008837243076,0.046770382330578286,1.1541494028358876,1.144235280993918,1.200870586927539
primary,k4,F16,3.9553,0.05921337833569851,0.05143770832849744,1.1511667268989354,1.1343061451910004,1.1817992838025673
primary,k4,F32,3.9553,0.1367874443361264,0.1295705930000016,1.0556982195499,1.0483036248478117,1.0629550045259284
primary,k16,F8,15.947633333333334,0.07317101950078116,0.05003688033320941,1.4623417569903463,1.431971106999991,1.482845966752505
primary,k16,F16,15.947633333333334,0.07545113566205448,0.053372135502286255,1.4136802837657199,1.3953099588933464,1.4450809397206708
primary,k16,F32,15.947633333333334,0.15138466116331983,0.1293864046650318,1.170019845247569,1.1624472783102182,1.1761519760215333
primary,k64,F8,63.3833,0.15398218667057031,0.06667061183300878,2.3095961239451737,2.2270554794904927,2.523331963264704
primary,k64,F16,63.3833,0.15741311550179185,0.07107166900095763,2.21485041387829,2.1793715053791427,2.3472972164043626
primary,k64,F32,63.3833,0.2334078435014817,0.1478876383334864,1.578278253217807,1.5583358517848704,1.6237598633014587
primary,original,F8,64.43463333333334,0.1591860708334328,0.06898720199630286,2.307472490940622,2.293347844284179,2.335999166457693
primary,original,F16,64.43463333333334,0.16179613467102172,0.07135759266626944,2.2673990058454194,2.228183492549129,2.2802871476257724
primary,original,F32,64.43463333333334,0.23785564200079534,0.14844436182950935,1.6023218333746905,1.5890729280457372,1.6104886456421073
primary,k256,F8,256.1571333333333,0.568185183336027,0.1331504219948935,4.267242828248923,4.240979749026775,4.3027095774451185
primary,k256,F16,256.1571333333333,0.5634826500002722,0.1268258126680545,4.4429650253856,4.424867038264867,4.598119051289329
primary,k256,F32,256.1571333333333,0.6416519518364415,0.20452242849811833,3.1373182713911736,3.1096587055485343,3.1582011963400634
primary,k1024,F8,1023.3134333333334,2.335874654330837,0.3830055066622056,6.09880175010376,6.048107958966543,6.37859842141544
primary,k1024,F16,1023.3134333333334,2.302812202333977,0.34800369499862427,6.617206183236303,6.558323695846908,6.661704919504273
primary,k1024,F32,1023.3134333333334,2.3862587150045633,0.4198941958287226,5.683000000261811,5.654980957124512,5.7056354440419526
repeat,k4,F8,3.9553,0.053387016501801554,0.046278101166535635,1.1536129434024074,1.1385553237866997,1.1860203122661355
repeat,k4,F16,3.9553,0.05943536233098712,0.051340442994842306,1.1576713963484506,1.1342151769185527,1.197808727787835
repeat,k4,F32,3.9553,0.13566400433531575,0.1284165175044715,1.0564373413302686,1.0489380818270149,1.0618099004776056
repeat,k16,F8,15.947633333333334,0.07020138366836666,0.048840159998993236,1.437370059185182,1.4305075876193825,1.4494649037462872
repeat,k16,F16,15.947633333333334,0.07475425716499255,0.053564706329780165,1.395587921359175,1.3916344342904412,1.4006984514919136
repeat,k16,F32,15.947633333333334,0.15121294100147983,0.12935157416844353,1.169007350498635,1.1606896318526314,1.1742336023921867
repeat,k64,F8,63.3833,0.15714066033009053,0.06877058816462522,2.284998056929835,2.264337163185491,2.301054520619901
repeat,k64,F16,63.3833,0.1571136598358862,0.07090858716401272,2.215721199922934,2.1816504746500915,2.3518846103225157
repeat,k64,F32,63.3833,0.23105355149891693,0.14494016916432884,1.5941305493921103,1.5597499417768725,1.6596844091088425
repeat,original,F8,64.43463333333334,0.1596941453317413,0.06904357183278383,2.3129473330044905,2.303579291294585,2.3294746071592267
repeat,original,F16,64.43463333333334,0.16182587266909346,0.07125977266938814,2.2709288369454876,2.255821420976526,2.2867455990601675
repeat,original,F32,64.43463333333334,0.2371235288325503,0.14617274550012857,1.622214373967148,1.6157756979673914,1.6289275186104286
repeat,k256,F8,256.1571333333333,0.5705882579932222,0.1327083636667036,4.299565168524357,4.267787058551312,4.370594355958728
repeat,k256,F16,256.1571333333333,0.5652745721672545,0.12754233883606503,4.432054307031512,4.376658980956926,4.467424326364403
repeat,k256,F32,256.1571333333333,0.6438086616641764,0.20287481749983272,3.173428174074425,3.1437094808323995,3.3413524049925942
repeat,k1024,F8,1023.3134333333334,2.3314826506684767,0.38209146167112823,6.101896756528986,5.981921299519615,6.170374093737408
repeat,k1024,F16,1023.3134333333334,2.297603426501155,0.34758400183151633,6.610210522907977,6.558904192302664,6.690860087313132
repeat,k1024,F32,1023.3134333333334,2.396254550665617,0.4215131423334242,5.684886922861679,5.6279076709927285,5.743979717147859
pooled,k4,F8,3.9553,0.053683512669522315,0.04652424174855696,1.1538825922119926,1.1456572334640818,1.182428878738689
pooled,k4,F16,3.9553,0.05932437033334281,0.05138907566166987,1.1544159837377992,1.1362304049837062,1.1775102579232033
pooled,k4,F32,3.9553,0.13622572433572108,0.12899355525223655,1.0560661272521918,1.0509498193920408,1.0608820351660977
pooled,k16,F8,15.947633333333334,0.07168620158457391,0.04943852016610132,1.450007025771116,1.434596079690299,1.4664561737256938
pooled,k16,F16,15.947633333333334,0.07510269641352352,0.05346842091603321,1.4046178122870838,1.39423837001142,1.4232114634108757
pooled,k16,F32,15.947633333333334,0.15129880108239982,0.12936898941673766,1.1695136660225383,1.1635532157896433,1.173568758447701
pooled,k64,F8,63.3833,0.15556142350033042,0.06772059999881701,2.297106397507522,2.2519959914473007,2.3927069617859225
pooled,k64,F16,63.3833,0.15726338766883904,0.07099012808248517,2.2152853067980223,2.195653032693176,2.303482325178641
pooled,k64,F32,63.3833,0.2322306975001993,0.14641390374890761,1.5861246203670871,1.5677951749348746,1.6254360845616602
pooled,original,F8,64.43463333333334,0.15944010808258705,0.06901538691454334,2.310211029896999,2.3029026660558847,2.328040152489628
pooled,original,F16,64.43463333333334,0.1618110036700576,0.07130868266782879,2.2691627108553964,2.2471728857401505,2.2791130426905104
pooled,original,F32,64.43463333333334,0.23748958541667284,0.14730855366481896,1.6121914139286768,1.5998606164235432,1.6214528074332337
pooled,k256,F8,256.1571333333333,0.5693867206646246,0.13292939283079855,4.283377126301767,4.260679386935783,4.329011256627297
pooled,k256,F16,256.1571333333333,0.5643786110837633,0.12718407575205978,4.43749429908188,4.407763808265894,4.517412324774452
pooled,k256,F32,256.1571333333333,0.642730306750309,0.20369862299897554,3.1553002042313336,3.129601620428822,3.244802060651231
pooled,k1024,F8,1023.3134333333334,2.333678652499657,0.3825484841666669,6.100347404547369,6.040182371381314,6.241687676242887
pooled,k1024,F16,1023.3134333333334,2.300207814417566,0.3477938484150703,6.613710463539918,6.572587023424123,6.656375060349151
pooled,k1024,F32,1023.3134333333334,2.39125663283509,0.42070366908107343,5.683945276869627,5.651923690650591,5.716027875841186
