process,repeat,cell,method,mode,seconds,executed_tiles,batches,output_sha256
0,0,k4,F8,original_full,0.04958414300926961,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k4,F8,layout_full,0.04901447499287315,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k4,F8,geometric,0.04281703200831544,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k4,F16,original_full,0.05242252501193434,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k4,F16,layout_full,0.050743354004225694,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k4,F16,geometric,0.04488894800306298,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,1,k4,F16,original_full,0.05189405499550048,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,1,k4,F16,geometric,0.04482091800309718,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,1,k4,F16,layout_full,0.05064604300423525,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,1,k4,F8,original_full,0.04719357499561738,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,1,k4,F8,geometric,0.042352394011686556,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,1,k4,F8,layout_full,0.048033029001089744,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,2,k4,F8,geometric,0.0425838570081396,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,2,k4,F8,original_full,0.04700199200306088,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,2,k4,F8,layout_full,0.04752861899032723,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,2,k4,F16,geometric,0.04418389000056777,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,2,k4,F16,original_full,0.051779683999484405,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,2,k4,F16,layout_full,0.05019022000487894,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F16,geometric,0.04433078000147361,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F16,layout_full,0.05025026100338437,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F16,original_full,0.05162459998973645,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F8,geometric,0.0444549520034343,346802,85,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F8,layout_full,0.047400511990417726,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,3,k4,F8,original_full,0.04713665699819103,440391,108,0b1503dbe8814b114412ba0d04f6d10d958ae15ab7817d3a8dab4413f8f7579a
0,0,k16,F16,original_full,0.053874070988968015,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F16,layout_full,0.05288112800917588,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F16,geometric,0.04820077199838124,367280,90,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,original_full,0.0491175709903473,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,layout_full,0.050041738999425434,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,0,k16,F8,geometric,0.04597808299877215,367280,90,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,original_full,0.05524917598813772,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,geometric,0.05097630599630065,367280,90,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F8,layout_full,0.05615741499059368,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
0,1,k16,F16,original_full,0.05922630400164053,440391,108,b65ded9f0b0892bf0c056a679273dea504eaa5f2bee6f1b960c8de2d1248aa85
