cell,method,original_ms,layout_full_ms,geometric_ms,speedup,speedup_ci95,saving_fraction,process_speedups,passes_cell_5pct_gate,prune_vs_layout_speedup,prune_vs_layout_ci95,pruned_tile_fraction,pruned_pair_fraction,ideal_empty_tile_fraction,build_seconds_mean,modeled_break_even_queries,single_query_seconds_mean,ideal_diagnostic_ms
k4,F8,47.253937164593175,48.280987333176505,43.03805516732003,1.0979570749859158,"[1.0830820298556896, 1.1201909878426186]",0.08921758165014992,"[1.1045579628056668, 1.104035427062827, 1.0855515801897566]",True,1.1218208430997498,"[1.1035878357621927, 1.1409351374025]",0.2125134255695507,0.21220908540413216,0.9688958221217054,5.881165952722465,1396,5.962569957666953,23.678867000853643
k4,F16,52.057291834595766,51.0175818320325,44.96137283422286,1.1578225608576562,"[1.1469883721822867, 1.2341550843095341]",0.13630979926729814,"[1.1628913561429817, 1.1688726875305668, 1.1420939450847403]",True,1.1346980444778565,"[1.129668489710169, 1.1535381998883167]",0.2125134255695507,0.21220908540413216,0.9688958221217054,5.881165952722465,829,5.805877981329104,23.715147336285252
k16,F8,51.12726783409016,52.71316883105707,48.18345383440222,1.0610959523533803,"[1.053411567161437, 1.0716520913140735]",0.057578159843016175,"[1.067056454264114, 1.055390248161579, 1.0603328227862883]",True,1.0940097613637796,"[1.0846382122493063, 1.1016046138602476]",0.16601383770331365,0.16570205607684316,0.9199166195494458,5.881165952722465,1998,,
k16,F16,55.66468766725544,55.56405749909269,50.4897178398096,1.1024955188671215,"[1.0953043849236694, 1.1475791988195225]",0.09296683488785662,"[1.1114290948436127, 1.0964877498064503, 1.0988708038889836]",True,1.1005024364640463,"[1.096672726712526, 1.113774772185697]",0.16601383770331365,0.16570205607684316,0.9199166195494458,5.881165952722465,1137,,
k64,F8,68.60654783182933,66.8985971666795,63.43423533204866,1.0815381863233005,"[1.0015044414820828, 1.2027937732807092]",0.0753909453724333,"[1.0352411828974015, 1.2394823505570574, 1.0020237535877319]",False,1.054613440463127,"[1.0262425305188465, 1.1303676766688673]",0.12632410744088776,0.12602157964033933,0.7913649461501256,5.881165952722465,1138,,
k64,F16,68.71570066626494,71.39108366633688,64.49836150325912,1.0653867643256754,"[1.0233006419743074, 1.138826318646423]",0.0613737344175298,"[1.047644343875156, 1.138826318646423, 1.0235748507368774]",False,1.106866624243307,"[1.034304154668284, 1.2312593973049393]",0.12632410744088776,0.12602157964033933,0.7913649461501256,5.881165952722465,1395,,
original,F8,71.54894883327263,74.09341766712411,71.72114916708476,0.9975990299122095,"[0.9852755087028747, 1.0192302646987874]",-0.002406748619234067,"[1.018415316662868, 0.984747611843029, 0.9907928335027344]",False,1.0330762756535428,"[1.0215946001284477, 1.053523726047888]",0.12584271704008484,0.12554030766153898,0.7891419216105688,5.881165952722465,,5.805847794996225,52.66105666426787
original,F16,72.65413283312228,75.91106366695992,70.94318483238264,1.0241171580438924,"[1.0101917334944175, 1.0469809927508889]",0.023549217835542424,"[1.0511033190825814, 1.0115984035891716, 1.010525329175729]",False,1.0700261603184982,"[1.0296481720748143, 1.108636763874169]",0.12584271704008484,0.12554030766153898,0.7891419216105688,5.881165952722465,3438,6.015913284999745,48.506857332540676
k256,F8,131.67761299943473,133.68688316889651,131.98229366147038,0.9976915035071512,"[0.9949969733163188, 1.0028604960277168]",-0.002313837979710076,"[0.9985722451063588, 0.9985212397054102, 0.9959791696030265]",False,1.0129152893175075,"[1.0101845518550738, 1.016037096102536]",0.09155500453006533,0.0912710121497975,0.5523160100910327,5.881165952722465,,,
k256,F16,125.70085683789026,126.04335699870717,124.02372633368941,1.01352265855719,"[0.9643818147565566, 1.0627540432398355]",0.013342236054633694,"[1.014150607261318, 1.0165787002842557, 1.009832657311731]",False,1.0162842282256854,"[0.9727146138950008, 1.0183220910178061]",0.09155500453006533,0.0912710121497975,0.5523160100910327,5.881165952722465,3507,,
k1024,F8,379.9216240028424,378.38354933531565,376.7320870004672,1.008466326900292,"[1.0055979884783448, 1.010813898163585]",0.008395249969639473,"[1.0060790252448182, 1.010930680695831, 1.0083726468805585]",False,1.0043836519156024,"[1.0004700610856567, 1.0554898387489904]",0.06184277153711134,0.06158802242184853,0.32141210878514775,5.881165952722465,1844,6.3206792316632345,376.9816436591403
k1024,F16,343.97259799879976,345.0580025019008,342.1649141673697,1.0052830777107258,"[0.9602186808674936, 1.0076631731824541]",0.005255313481210333,"[1.0068985890921451, 1.0043062808224614, 1.0046546077565028]",False,1.0084552454525362,"[0.9557087213794118, 1.0500127007909434]",0.06184277153711134,0.06158802242184853,0.32141210878514775,5.881165952722465,3254,6.357287358667236,338.0734003245986
