family,seed,updates,rule,solver_steps,nfe,validation_pruning,gaussian_sliced_w2_squared_normalized,selected,checkpoint_sha256
direct,2026090831,1000,first,0,1,0.04811636169716361,0.3159879559053711,False,c2fb1d6550f000f1d4aaaef7e0c795079f2014922c433e55eb77341bed3807a0
direct,2026090831,1000,balanced,0,1,0.0,0.3159879559053711,False,c2fb1d6550f000f1d4aaaef7e0c795079f2014922c433e55eb77341bed3807a0
fm,2026090831,1000,first,8,16,0.061406552678065524,0.005383814235113805,False,96e48c30e4986da868443f787f25445be8a024da65528b6195645fcbd14f816c
fm,2026090831,1000,balanced,8,16,0.0,0.005383814235113805,False,96e48c30e4986da868443f787f25445be8a024da65528b6195645fcbd14f816c
fm,2026090831,1000,first,16,32,0.06002770389627704,0.0054053633660900505,False,96e48c30e4986da868443f787f25445be8a024da65528b6195645fcbd14f816c
fm,2026090831,1000,balanced,16,32,0.0,0.0054053633660900505,False,96e48c30e4986da868443f787f25445be8a024da65528b6195645fcbd14f816c
fm,2026090831,1000,first,32,64,0.059631796820317974,0.005411253606918431,False,96e48c30e4986da868443f787f25445be8a024da65528b6195645fcbd14f816c
fm,2026090831,1000,balanced,32,64,0.0,0.005411253606918431,False,96e48c30e4986da868443f787f25445be8a024da65528b6195645fcbd14f816c
direct,2026090831,2000,first,0,1,0.05807205946072059,0.3097882482955923,False,1152614c002d0f557cd2e6b0a59730db33d68ff2bd9f77fceff2500405be2dad
direct,2026090831,2000,balanced,0,1,0.0,0.3097882482955923,False,1152614c002d0f557cd2e6b0a59730db33d68ff2bd9f77fceff2500405be2dad
fm,2026090831,2000,first,8,16,0.04424602873046029,0.0030266394403338486,False,7d92b6bedf55ecc04eab2f4705c60c5e6516cdcd26ee65fd4cf937093ff319cc
fm,2026090831,2000,balanced,8,16,0.0,0.0030266394403338486,False,7d92b6bedf55ecc04eab2f4705c60c5e6516cdcd26ee65fd4cf937093ff319cc
fm,2026090831,2000,first,16,32,0.04340984568209846,0.003017924000206816,False,7d92b6bedf55ecc04eab2f4705c60c5e6516cdcd26ee65fd4cf937093ff319cc
fm,2026090831,2000,balanced,16,32,0.0,0.003017924000206816,False,7d92b6bedf55ecc04eab2f4705c60c5e6516cdcd26ee65fd4cf937093ff319cc
fm,2026090831,2000,first,32,64,0.0435975602439756,0.0030157636260704002,False,7d92b6bedf55ecc04eab2f4705c60c5e6516cdcd26ee65fd4cf937093ff319cc
fm,2026090831,2000,balanced,32,64,0.0,0.0030157636260704002,False,7d92b6bedf55ecc04eab2f4705c60c5e6516cdcd26ee65fd4cf937093ff319cc
direct,2026090831,4000,first,0,1,0.057505502783055024,0.3214512972508954,False,d46e43f7cf1f9b12ada031b888d84a6507a72de3c1d19a66d304da951e48a177
direct,2026090831,4000,balanced,0,1,0.0,0.3214512972508954,False,d46e43f7cf1f9b12ada031b888d84a6507a72de3c1d19a66d304da951e48a177
fm,2026090831,4000,first,8,16,0.031890997566909975,0.002241111444291059,False,4cac323fb1943d5694d73ac4569b0cebedbd95cdf2a0405ca77530000c1f658a
fm,2026090831,4000,balanced,8,16,0.0,0.002241111444291059,False,4cac323fb1943d5694d73ac4569b0cebedbd95cdf2a0405ca77530000c1f658a
fm,2026090831,4000,first,16,32,0.03183297670232977,0.0022367885129619663,False,4cac323fb1943d5694d73ac4569b0cebedbd95cdf2a0405ca77530000c1f658a
fm,2026090831,4000,balanced,16,32,0.0,0.0022367885129619663,False,4cac323fb1943d5694d73ac4569b0cebedbd95cdf2a0405ca77530000c1f658a
fm,2026090831,4000,first,32,64,0.03175106489351064,0.0022358386307471134,False,4cac323fb1943d5694d73ac4569b0cebedbd95cdf2a0405ca77530000c1f658a
fm,2026090831,4000,balanced,32,64,0.0,0.0022358386307471134,False,4cac323fb1943d5694d73ac4569b0cebedbd95cdf2a0405ca77530000c1f658a
direct,2026090832,1000,first,0,1,0.06081951804819519,0.31199445829731504,False,8a05e2d35f679c95319eeac08c8cec4648429c04917a599053cc9c6a2e168410
direct,2026090832,1000,balanced,0,1,0.0,0.31199445829731504,False,8a05e2d35f679c95319eeac08c8cec4648429c04917a599053cc9c6a2e168410
fm,2026090832,1000,first,8,16,0.06556357697563577,0.006330080863774819,True,5abc5a8f20f40a28d22396a5c168a95406d8655026dc7e2fb03e3319396f703e
fm,2026090832,1000,balanced,8,16,0.0,0.006330080863774819,False,5abc5a8f20f40a28d22396a5c168a95406d8655026dc7e2fb03e3319396f703e
