cell,method,baseline,saving_fraction,saving_ci95,process_savings,speedup,speedup_ci95,passes_5pct_gate,selected_cost_break_even_queries,all_seed_cost_break_even_queries
k4,F8,pca,-0.035906594111198675,"[-0.043868178428533695, -0.019174028941070606]","[-0.03544388312542046, -0.04086918544078366, -0.03145451446323433]",0.9653380002450835,"[0.9579753657284988, 0.9811866978596192]",False,,
k4,F8,direct,0.02279900691780401,"[0.017565182189932173, 0.039557514647397984]","[0.018614958543624938, 0.024246752777047575, 0.025519982198707436]",1.0233309289278283,"[1.0178792341961094, 1.0411867605303564]",False,0,2192
k4,F16,pca,-0.045659216512634604,"[-0.05200787651981939, -0.038576248700959076]","[-0.05085769019928632, -0.045227249881578446, -0.040950120474190665]",0.9563345153070882,"[0.9505632251622635, 0.9628566041740249]",False,,
k4,F16,direct,0.023323274729918575,"[0.018005958277607315, 0.02987294103045557]","[0.020896869388463357, 0.022213792577552294, 0.026831423623321915]",1.023880240131113,"[1.0183361176469312, 1.0307928129148218]",False,0,2032
k16,F8,pca,-0.04752724737237157,"[-0.05448072855192798, -0.03895045975575772]","[-0.05523749325753591, -0.04571332612839596, -0.04166741595790424]",0.9546291063152872,"[0.9483340690097354, 0.9625098007417074]",False,,
k16,F8,direct,0.000927928478339668,"[-0.006260026740251101, 0.008337145961851644]","[-0.00759872320049837, 0.0043449347871561406, 0.005999418376432364]",1.0009287903293367,"[0.9937789174031586, 1.0084072383349865]",False,0,50314
k16,F16,pca,-0.04562700533280428,"[-0.05043107787158063, -0.03461891298509556]","[-0.048287585218086404, -0.047400948770215834, -0.04123990906704611]",0.9563639757771157,"[0.9519901125033678, 0.9665394547203736]",False,,
k16,F16,direct,0.0043810197180877974,"[-0.002022939347711189, 0.011594865018697997]","[-0.0003928276522606744, 0.0047056884061639215, 0.008776259034542822]",1.004400297508237,"[0.9979811446741776, 1.0117308830239105]",False,0,10127
k64,F8,pca,-0.04633395589851985,"[-0.1015535668661598, 0.0025316871014579552]","[-0.032261444028304664, -0.08639350217853292, -0.02326381580033976]",0.9557178130009827,"[0.9078087803255249, 1.0025381129468056]",False,,
k64,F8,direct,0.002811065293598314,"[-0.008946970088508088, 0.03324128253924985]","[-0.0018700943156209071, 0.004420518732615286, 0.005838719015666238]",1.0028189896575879,"[0.9911323683466504, 1.0343842594215857]",False,0,13021
k64,F16,pca,-0.002809592264029215,"[-0.05899348442282748, 0.04031152818771455]","[0.009226108526354304, 0.014425604670349146, -0.031286228001447425]",0.9971982794284147,"[0.9442928731001776, 1.0420048061133733]",False,,
k64,F16,direct,0.03283747292307948,"[-0.0033411386185828724, 0.07801999329872113]","[-0.0017140629406564578, 0.09378152567215403, 0.007132345903887227]",1.0339523833934354,"[0.9966699874178516, 1.0846222181955816]",False,0,1100
original,F8,pca,-0.02864541228037898,"[-0.033360477361350505, -0.021899182283328544]","[-0.024695006185824875, -0.0329095331638658, -0.02838737204649755]",0.9721522966627774,"[0.9677165151056141, 0.9785701146815706]",False,,
original,F8,direct,0.0037439122158302585,"[-0.003485249698754894, 0.010254165804182981]","[-0.00010718278211507837, 0.002100885648975148, 0.00910283024359504]",1.0037579817696847,"[0.9965268550795148, 1.010360403095725]",False,0,9747
original,F16,pca,-0.0362254493273213,"[-0.05121128709029987, -0.026194221601563282]","[-0.04647547329843782, -0.02525341418303606, -0.036960667582925044]",0.9650409576884668,"[0.9512835452594405, 0.9744744015800977]",False,,
original,F16,direct,0.0015067875895162786,"[-0.012547266311061882, 0.011106660407932394]","[-0.008020904094552916, 0.013419907206167259, -0.000871736452573435]",1.0015090614245425,"[0.9876082166981487, 1.0112314037963424]",False,0,23958
k256,F8,pca,-0.013243563303446892,"[-0.01997146349954404, -0.006673951387309313]","[-0.010650100887701797, -0.01353130303390948, -0.015541576183834227]",0.9869295362111462,"[0.9804195860234938, 0.9933702949419604]",False,,
k256,F8,direct,0.004457932703865852,"[-0.0003905391321614715, 0.009913570937592424]","[0.006234862049559919, 0.002305494005684361, 0.004767909387362046]",1.0044778948577968,"[0.9996096133291101, 1.0100128338769447]",False,0,5716
k256,F16,pca,-0.023537598555012362,"[-0.029336038232786403, -0.017733312006319002]","[-0.024696519167574316, -0.02040618429160146, -0.0254149169604041]",0.9770036796027409,"[0.9715000377500324, 0.9825756789159624]",False,,
k256,F16,direct,-0.0032355161062469495,"[-0.008589215082516644, 0.008011629861412017]","[-0.006391097015952196, -0.0010742557137031206, -0.002203147221266022]",0.9967749186962552,"[0.9914839312635184, 1.0080763344637729]",False,,
k1024,F8,pca,-0.0012430082693897226,"[-0.018556206858421263, 0.0061248448732473815]","[0.002366135186288143, 0.00031737211338556115, -0.006260310634393251]",0.9987585348820182,"[0.9817818528532312, 1.0061625897796653]",False,,
k1024,F8,direct,0.00012313299046295967,"[-0.01751187761198465, 0.009221417602768355]","[-0.0012829908675591195, 0.0058419391195615455, -0.003857936332095857]",1.0001231481540633,"[0.9827895103805424, 1.0093072435825747]",False,0,95497
k1024,F16,pca,-0.010246839430954058,"[-0.028930881134581532, -0.0022188617133320765]","[-0.0161968275350326, -0.010126105545446462, -0.004555628421264002]",0.9898570933053095,"[0.9718825805847426, 0.9977860507339297]",False,,
k1024,F16,direct,0.003239635563341725,"[-0.011918395027762596, 0.007238666643771818]","[0.0006668151060162941, 0.004317893395451966, 0.004772091529372857]",1.0032501649131813,"[0.9882219800664502, 1.0072914469979406]",False,0,4371
