cell,method,original_full_ms,pca_geo_ms,direct_geo_ms,fm_geo_ms,fm_full_ms
k4,F8,48.37178400096794,45.11226633136781,47.822397335645896,46.73209416796453,49.58252766421841
k4,F16,53.33824333259448,47.089656831910055,50.415590332704596,49.2397336687039,52.64450900237231
k16,F8,51.207835834550984,48.80483216402354,51.171875335664176,51.124391495250165,52.536115169156496
k16,F16,55.88990183120283,51.277819172052354,53.85340533151369,53.61747250087016,55.73282500214797
k64,F8,61.94665966904722,62.20799866666008,65.27383033244405,65.09034133341629,65.08413100042769
k64,F16,65.38611816358753,63.80825049806542,66.16005466882295,63.98752566504602,66.21105233352864
original,F8,64.14928116525213,63.41319683512363,65.47482600338601,65.22969400248257,66.69556549847282
original,F16,66.37900066561997,63.770260334422346,66.1800860010165,66.08036666875705,67.4629623341995
k256,F8,91.8067298286284,92.12487900125173,93.76292949794636,93.3449406681272,93.92888650230209
k256,F16,85.70970849541482,84.11193650196462,85.81407666982462,86.09172949703255,86.54275083730074
k1024,F8,205.01287849765504,202.8960725001525,203.17329133104067,203.1482739960969,203.66289683443028
k1024,F16,168.5952633318569,166.47668266523397,168.72916350015052,168.18254250150252,167.40191450177613
