family,seed,updates,solver_steps,extra_pruning,endpoint_mse,selected,checkpoint_sha256
direct,2026090911,750,0,0.03780029017885803,0.206524724761645,False,181d9dc4122971170445612efa0a78407b6552004d61d7420ed0a91de5519594
fm,2026090911,750,2,0.011257912509790325,2.949768587946892,False,468181a622792f3e3ebe6e8bfb8c6be963a95b00f990f4c99f7fc9823492d193
fm,2026090911,750,4,0.010614211916164846,32.786103546619415,False,468181a622792f3e3ebe6e8bfb8c6be963a95b00f990f4c99f7fc9823492d193
fm,2026090911,750,8,0.010285513740696514,153.4757435719172,False,468181a622792f3e3ebe6e8bfb8c6be963a95b00f990f4c99f7fc9823492d193
direct,2026090911,1500,0,0.045962961536321574,0.18285411347945532,False,af33398b695e00434068e3a3480e88eb9f3831b7ce52ded612343ce39daeb546
fm,2026090911,1500,2,0.06673942537738231,0.3306320359309514,False,248c9b33d7dcd81c94f74b695a0375e21906e5cbefb0b9733273fdec34f930d2
fm,2026090911,1500,4,0.0646439745087717,0.6722354839245478,False,248c9b33d7dcd81c94f74b695a0375e21906e5cbefb0b9733273fdec34f930d2
fm,2026090911,1500,8,0.06369896725430026,1.4982117513815563,False,248c9b33d7dcd81c94f74b695a0375e21906e5cbefb0b9733273fdec34f930d2
direct,2026090911,3000,0,0.041155750720097244,0.17665779093901315,False,c6d10a3fba5add772ce349ff7d3b3dfbca5bbcd61c4b9b592041dc8b5036c268
fm,2026090911,3000,2,0.07573753793082787,0.41551919281482697,False,7133672812a8a3a05d683367f7ec3c5fa5a55b69ef35aafc8e69bea6f632f500
fm,2026090911,3000,4,0.07623058519403036,1.18424325188001,False,7133672812a8a3a05d683367f7ec3c5fa5a55b69ef35aafc8e69bea6f632f500
fm,2026090911,3000,8,0.07668254518529931,5.28936090071996,False,7133672812a8a3a05d683367f7ec3c5fa5a55b69ef35aafc8e69bea6f632f500
direct,2026090912,750,0,0.04459338580520353,0.21642355993390083,False,cac233d03ff61111e912b7ae9934b7288c08c510d399f0a69934323e6643f3fe
fm,2026090912,750,2,0.049455379650672586,0.4911753038565318,False,c4b39714621b1259efbd8823889b18f95980d2d3f6dd31f27f67c8364329cff6
fm,2026090912,750,4,0.050085384486986885,0.9402818381786346,False,c4b39714621b1259efbd8823889b18f95980d2d3f6dd31f27f67c8364329cff6
fm,2026090912,750,8,0.0506332147794341,1.6458331147829692,False,c4b39714621b1259efbd8823889b18f95980d2d3f6dd31f27f67c8364329cff6
direct,2026090912,1500,0,0.03521179204704493,0.1868446208536625,False,21406791d7a026a7dc85d6e289f8f759807c436c0be76d42017aed87d97def3e
fm,2026090912,1500,2,0.05511172742019011,0.5459167311588923,False,4d7188323b5b9d8128ea2211ae782510b9e6081ea488709073d0530c7a6fc68c
fm,2026090912,1500,4,0.05383802199025033,2.3699390242497125,False,4d7188323b5b9d8128ea2211ae782510b9e6081ea488709073d0530c7a6fc68c
fm,2026090912,1500,8,0.053221712911247214,9.739838182926178,False,4d7188323b5b9d8128ea2211ae782510b9e6081ea488709073d0530c7a6fc68c
direct,2026090912,3000,0,0.06048046428617284,0.17758421848217645,True,0e690a2962718570ca25646b8266103576af4d6f33fe8ee8e30f7dde2c7d3fe3
fm,2026090912,3000,2,0.07253273072001164,0.42423759400844574,False,86550124343705c91f7c0e9cd03e15f86a5f17011df705c8f5b3ccfea0b851a7
fm,2026090912,3000,4,0.07384752342188496,1.3360196749369304,False,86550124343705c91f7c0e9cd03e15f86a5f17011df705c8f5b3ccfea0b851a7
fm,2026090912,3000,8,0.07468296461786697,5.54216526945432,False,86550124343705c91f7c0e9cd03e15f86a5f17011df705c8f5b3ccfea0b851a7
direct,2026090913,750,0,0.03503374720199958,0.2088099146882693,False,f6030a4c9f0e9c9a02b17270bf2bf22743d55b796cce5645d406a03b87ce1170
fm,2026090913,750,2,0.06543832843282016,0.4935028627514839,False,26c49e5b3f602e3f30d9ce482a78746ae25cfce05d02335dfe2c56cb840d3fcb
fm,2026090913,750,4,0.06693116597973885,0.7326689263184866,False,26c49e5b3f602e3f30d9ce482a78746ae25cfce05d02335dfe2c56cb840d3fcb
fm,2026090913,750,8,0.06799943505001091,0.8840855757395426,False,26c49e5b3f602e3f30d9ce482a78746ae25cfce05d02335dfe2c56cb840d3fcb
direct,2026090913,1500,0,0.053440845028226096,0.18331992626190186,False,1b22b9292e849bc008c95f25054f91e9486531dd37babfca97a5ac8963da3652
fm,2026090913,1500,2,0.028487175207255327,0.35250119616587955,False,a7ddb296e8731ef4a4bf3da3e590a8df15aa5f8862df51636cb9023b3aa57087
fm,2026090913,1500,4,0.024570188616257718,1.33749225238959,False,a7ddb296e8731ef4a4bf3da3e590a8df15aa5f8862df51636cb9023b3aa57087
fm,2026090913,1500,8,0.022967785010849607,5.1754524658123655,False,a7ddb296e8731ef4a4bf3da3e590a8df15aa5f8862df51636cb9023b3aa57087
direct,2026090913,3000,0,0.05991893823641445,0.1769846739868323,False,bf1a859e2bd6060133e842d254b06a10a985822e3fd5e83dbb7af811b6224372
fm,2026090913,3000,2,0.08073648934940873,0.6065525710582733,True,6c6b865019e14bd131e327acb8ba2e4dc84dc571181e21be94c90b4333d7acb9
fm,2026090913,3000,4,0.07994213542536026,1.0232040335734685,False,6c6b865019e14bd131e327acb8ba2e4dc84dc571181e21be94c90b4333d7acb9
fm,2026090913,3000,8,0.07943539240484658,1.5843907594680786,False,6c6b865019e14bd131e327acb8ba2e4dc84dc571181e21be94c90b4333d7acb9
