configuration,cell,method,build_plus_query_seconds,build_seconds,training_included
pca,k4,F8,0.5236738303307599,0.47846820033252396,False
pca,k4,F16,0.5230981889956942,0.4768707980013763,False
pca,original,F8,0.5222111550004532,0.4652541500011769,False
pca,original,F16,0.5202313843328739,0.4630648936678578,False
pca,k1024,F8,0.6806466066627763,0.47695782532779657,False
pca,k1024,F16,0.6450119516666746,0.4752212243329268,False
all,k4,F8,0.5417170236663272,0.4849110609987595,False
all,k4,F16,0.552572803668833,0.4927578613278456,False
all,original,F8,0.5494404273291972,0.47711352867190726,False
all,original,F16,0.5493356316631738,0.47694125200117315,False
all,k1024,F8,0.6997308413362285,0.48015065366538084,False
all,k1024,F16,0.6714257189984588,0.48818798933158786,False
heuristic25,k4,F8,1.2709840370031695,1.220989388001423,False
heuristic25,k4,F16,1.2614586923300521,1.208394914661767,False
heuristic25,original,F8,1.254182759662702,1.1898547526604186,False
heuristic25,original,F16,1.2483608710026601,1.1855051306677826,False
heuristic25,k1024,F8,1.4149175576700752,1.201112792667118,False
heuristic25,k1024,F16,1.3809178493296106,1.2059412923360167,False
direct25,k4,F8,1.2741528483311413,1.208032944666532,False
direct25,k4,F16,1.2689897316643812,1.2010620926691142,False
direct25,original,F8,1.2592289769963827,1.1796255730005214,False
direct25,original,F16,1.260337419337399,1.1800869230016058,False
direct25,k1024,F8,1.4306746723304968,1.203872301329587,False
direct25,k1024,F16,1.3913448253297247,1.200149858671163,False
fm25,k4,F8,1.2825218153351063,1.2117656383343274,False
fm25,k4,F16,1.2710621883306885,1.2000001063327848,False
fm25,original,F8,1.2674543653411092,1.1838695379992714,False
fm25,original,F16,1.291884740664197,1.2069685933335375,False
fm25,k1024,F8,1.4384297296686175,1.2052879753367354,False
fm25,k1024,F16,1.4030075636595332,1.20231093733067,False
