cell,method,configuration,baseline,saving_fraction,saving_ci95,process_savings,passes_5pct_gate,primary
k4,F8,all,pca,-0.25040424509183024,"[-0.28487280611986754, -0.2002371736159936]","[-0.22685409504088216, -0.2630709260647732, -0.2623049098035859]",False,False
k4,F8,heuristic25,pca,-0.09884343035409127,"[-0.13880450013548715, -0.05443651200443709]","[-0.05223349018976253, -0.11519272018512816, -0.13098312740154405]",False,False
k4,F8,random25,pca,-0.21010940415974022,"[-0.25106814421698065, -0.17250858544699904]","[-0.1815793315689509, -0.23461113179469817, -0.21551091718144533]",False,False
k4,F8,direct25,pca,-0.4809314713888133,"[-0.5513943286225353, -0.40637131958604755]","[-0.47137974784519443, -0.5257259376926491, -0.44671142697440636]",False,False
k4,F8,fm05,pca,-0.5278329127062737,"[-0.5891007350744568, -0.46611038572141855]","[-0.4963966221187497, -0.5579216092329109, -0.5307411100781156]",False,False
k4,F8,fm10,pca,-0.5106357810223248,"[-0.5630310672621861, -0.4569194285570515]","[-0.454264683380158, -0.5348284697700574, -0.5451547458772161]",False,False
k4,F8,fm25,pca,-0.5374198740718157,"[-0.5778439452948614, -0.49604048003719015]","[-0.5191564073645842, -0.5520944815751185, -0.5418722229557653]",False,True
k4,F8,fm25,heuristic25,-0.39912550924238355,"[-0.4411021329033964, -0.36042053949881203]","[-0.44374458856143795, -0.39177242953797453, -0.36330258657195613]",False,True
k4,F8,fm25,direct25,-0.03814383296887325,"[-0.08322582187273686, -0.0034479729560238444]","[-0.03247065184182252, -0.017282621492524575, -0.06577731689060795]",False,True
k4,F16,all,pca,-0.23456455506211094,"[-0.2696896178714354, -0.1938616874400897]","[-0.22261696779908413, -0.23681133260176668, -0.2444778689191227]",False,False
k4,F16,heuristic25,pca,-0.0847151150694716,"[-0.13170998790942762, -0.04624154215434835]","[-0.09493267413135897, -0.07216486288377189, -0.0868263162156786]",False,False
k4,F16,random25,pca,-0.2014817745584323,"[-0.22930893531576246, -0.1596031331368393]","[-0.18221134361184843, -0.19718266901473958, -0.22536442483848873]",False,False
k4,F16,direct25,pca,-0.42149331133121404,"[-0.478605844986961, -0.3742281876710307]","[-0.4246706166349805, -0.417418127231145, -0.4223216685950322]",False,False
k4,F16,fm05,pca,-0.47638227961801416,"[-0.5146119191756036, -0.4249451854836277]","[-0.4493509166630174, -0.4831449567378512, -0.49713803699491477]",False,False
k4,F16,fm10,pca,-0.5026659941039431,"[-0.5606032947828806, -0.4365056657313888]","[-0.48168618483239545, -0.5293846491949652, -0.4973854901057442]",False,False
k4,F16,fm25,pca,-0.5360850820639851,"[-0.5892512658354289, -0.4829134535411468]","[-0.5280460551913473, -0.543247497426222, -0.5371258157973475]",False,True
k4,F16,fm25,heuristic25,-0.4161184450403874,"[-0.450497642255141, -0.3690454543536054]","[-0.3955616553351917, -0.43937518459184766, -0.41432517124687274]",False,True
k4,F16,fm25,direct25,-0.08061365454154479,"[-0.0997298797783214, -0.046658160364235514]","[-0.07256093959496113, -0.08877364256719256, -0.08071602207658057]",False,True
k16,F8,all,pca,-0.28243175730258896,"[-0.30382093312081904, -0.26417132443176394]","[-0.3014936775107788, -0.2762223995162647, -0.2694701562453128]",False,False
k16,F8,heuristic25,pca,-0.10304861941628518,"[-0.12627627262333663, -0.09216244048787844]","[-0.10091135974421905, -0.10900063432257356, -0.09963950729721294]",False,False
k16,F8,random25,pca,-0.21744080655289988,"[-0.25763642556330874, -0.19009441347345968]","[-0.23451969634627656, -0.2256917546133972, -0.1930473297670663]",False,False
