method,configuration,baseline,configuration_ms,baseline_ms,saving_fraction,saving_ci95,process_savings,passes_5pct_gate,primary,selected_training_break_even_queries,all_seed_break_even_queries,including_historical_oracle_break_even_queries
F8,all,pca,102.37026952785932,86.95917544294691,-0.17722217358217107,"[-0.18822694140314744, -0.16580298255351295]","[-0.17103936344011417, -0.18959944083768931, -0.17179526191145267]",False,False,,,
F8,heuristic25,pca,93.13306899962805,86.95917544294691,-0.07099760922562748,"[-0.0818563350309202, -0.05707698278911999]","[-0.0581477659816001, -0.08532645039641573, -0.07043142438787453]",False,False,,,
F8,random25,pca,98.51842527576892,86.95917544294691,-0.13292731645559264,"[-0.1454443561204643, -0.11947861353987134]","[-0.1246775420798043, -0.1460091954038023, -0.12891375702778607]",False,False,,,
F8,direct25,pca,111.35431600026398,86.95917544294691,-0.28053555513900297,"[-0.29735714879086333, -0.2618169551002819]","[-0.28185694463736044, -0.2948798863393589, -0.2657232131040621]",False,False,,,
F8,fm05,pca,113.18901088937612,86.95917544294691,-0.3016339024929964,"[-0.3194202699245241, -0.2818345263172455]","[-0.2902880354793689, -0.3200027588187828, -0.2957592555288657]",False,False,,,
F8,fm10,pca,113.9063757238748,86.95917544294691,-0.309883346336554,"[-0.31899987962046605, -0.2951997081598481]","[-0.2987934206117333, -0.3200474298155045, -0.3114650997523769]",False,False,,,
F8,fm25,pca,115.84391222236769,86.95917544294691,-0.332164336107025,"[-0.34837747715932976, -0.31859686629312606]","[-0.3280827926082446, -0.3487033137132882, -0.32071472024623726]",False,True,,,
F8,fm25,heuristic25,115.84391222236769,93.13306899962805,-0.24385369736747697,"[-0.2583775179327959, -0.23125108861295574]","[-0.2551014473637687, -0.24267063906963116, -0.2338153478645184]",False,True,,,
F8,fm25,direct25,115.84391222236769,111.35431600026398,-0.04031811593268708,"[-0.051411712876595385, -0.030582150305729496]","[-0.036061627753603664, -0.04156634753675026, -0.04344670823197894]",False,True,,,
F16,all,pca,94.95176013782232,80.13249716653566,-0.18493449593226163,"[-0.19249634935880047, -0.1774985799717369]","[-0.18410572197973618, -0.18626004260457174, -0.18450506152946655]",False,False,,,
F16,heuristic25,pca,86.06732772144217,80.13249716653566,-0.07406271818251753,"[-0.09537283236415361, -0.062056917854885985]","[-0.08705718221098069, -0.06881424768617306, -0.06622602996708338]",False,False,,,
F16,random25,pca,91.60687305686426,80.13249716653566,-0.14319254105462265,"[-0.1694021728383486, -0.13018298237896486]","[-0.15258611948085576, -0.1461577615316101, -0.13118810196675113]",False,False,,,
F16,direct25,pca,104.37621174868482,80.13249716653566,-0.3025453522528392,"[-0.332839960775265, -0.28536902473891645]","[-0.3093289737032068, -0.3120169021753052, -0.2870014736541342]",False,False,,,
F16,fm05,pca,106.82246019617499,80.13249716653566,-0.33307289768058546,"[-0.3665047089599775, -0.3179351972281657]","[-0.340586357074369, -0.34029377401585914, -0.31892325071876093]",False,False,,,
F16,fm10,pca,107.13385480590256,80.13249716653566,-0.336958894257984,"[-0.35364853069531277, -0.3190687089351773]","[-0.33105775586476494, -0.35266429772015817, -0.3280234433824174]",False,False,,,
F16,fm25,pca,108.72611011048623,80.13249716653566,-0.3568291761147264,"[-0.38090216115242365, -0.33898655299660296]","[-0.36983497882785654, -0.36393562463846996, -0.33739398707854074]",False,True,,,
F16,fm25,heuristic25,108.72611011048623,86.06732772144217,-0.26326810636411824,"[-0.27328240391115005, -0.2514058840922248]","[-0.260131482726355, -0.2761203619723367, -0.2543250206711132]",False,True,,,
F16,fm25,direct25,108.72611011048623,104.37621174868482,-0.04167518909648704,"[-0.048885141098300874, -0.02599197171062398]","[-0.04621146124454811, -0.03957168720698956, -0.03915497725214645]",False,True,,,
