cell,method,pca_ms,heuristic25_ms,direct25_ms,fm25_ms
k4,F8,45.453148006345145,50.391433003824204,65.24174399964977,261.3169029937126
k16,F8,50.24747199786361,55.96231399977114,72.58615299360827,267.00452499790117
k64,F8,56.28988299577031,62.059147996478714,79.2516869987594,274.3663439905504
original,F8,56.76112299261149,62.19690000580158,79.37564598978497,274.2232430027798
k256,F8,90.24084798875265,96.45235000061803,112.64154700620566,342.20796199224424
k1024,F8,197.41872999293264,205.29018899833318,222.3972420033533,453.35932599846274
k4,F16,47.945059995981865,52.29800401139073,67.3561439907644,263.3788929961156
k16,F16,52.44423799740616,56.90312199294567,72.6413020020118,268.7351789936656
k64,F16,56.81773999822326,62.80062301084399,79.27391500561498,273.89745399705134
original,F16,57.09388799732551,62.18060900573619,79.29468399379402,274.3802410113858
k256,F16,82.59289199486375,88.83273501123767,104.4954209937714,334.039290988585
k1024,F16,162.28115200647153,169.06903201015666,187.59496400889475,418.2750570034841
