cell,method,pca_ms,all_ms,heuristic25_ms,random25_ms,direct25_ms,fm05_ms,fm10_ms,fm25_ms
k4,F8,47.0867476639493,58.87746916657003,51.74096332727155,56.98011615944173,69.7322465008862,71.940682833277,71.13092583313119,72.3921016639603
k4,F16,49.22926083478766,60.77670049853623,53.39972333119173,59.14805966798061,69.97906499843036,72.68120833517362,73.9751361713085,75.62033316935413
k16,F8,49.871963662250586,63.95738999951088,55.011200665224656,60.71616366534727,72.95955599935648,74.58640583596814,75.28305533196544,77.22426650191967
k16,F16,52.595634001287785,65.0024690015319,56.93661216597926,62.57723600234992,76.02177233396408,77.28415583551396,77.81155366683379,80.52540967037203
k64,F8,58.76978000257319,74.59109499905026,65.76534583534037,71.24492816365091,83.67514833419894,83.21684916397014,84.1539405034079,86.22609633312095
k64,F16,59.77748999672864,74.40144416614203,65.09770366392331,71.11419300053967,82.12148366146721,83.93403750475652,84.83786449990778,86.32366916814742
original,F8,60.26384250192981,74.63489566483379,65.8783525044176,71.4779336679688,82.82085349977326,84.48203516794213,86.27890983431523,86.52200816868572
original,F16,60.38790616488162,74.79008383476564,65.70103183427516,71.30710933415685,82.18662699800916,86.37479033253233,84.92210566570672,86.09893949566565
k256,F8,95.20679899772706,112.68812633352354,102.63044233094358,106.37982283272625,119.62325249866505,123.45567216834752,124.54103316849796,126.70130449987482
k256,F16,86.42839116510004,103.9981746628958,92.9335271648597,98.33053383529962,114.01581766646511,116.45714616800736,117.04704399744514,117.41361232998315
k1024,F8,210.55591982925156,229.47264100366738,217.7721093345705,224.31158716547847,239.31483916870397,241.45242016675184,242.05038967193104,245.99769616664466
k1024,F16,172.37630083642821,190.74168866306232,182.33536816842388,187.1641065008589,201.93250483377292,204.20342300106617,204.20942483421337,206.37469682939505
