family,cell,method,build_plus_query_seconds_mean,build_seconds_mean,training_included
pca,k4,F8,0.5251079709948195,0.4807953809989461,False
pca,k4,F16,0.5183494070079178,0.47316330501053017,False
pca,original,F8,0.5324289606651291,0.4728975960072906,False
pca,original,F16,0.5391524849983398,0.4778445453363626,False
pca,k1024,F8,0.6930686243285891,0.47564681732910685,False
pca,k1024,F16,0.6621233966676906,0.4751501940045273,False
linear,k4,F8,0.5708829760017883,0.5188971906657874,False
linear,k4,F16,0.5311050106732486,0.4782942446715121,False
linear,original,F8,0.5439819989987882,0.4776916543293434,False
linear,original,F16,0.5424744589981856,0.4762066869977086,False
linear,k1024,F8,0.6966336860011021,0.47752999533258844,False
linear,k1024,F16,0.7027373539992064,0.5190914540047137,False
mlp,k4,F8,0.5855724586678358,0.5355850173364161,False
mlp,k4,F16,0.5288568586693145,0.4765849050018005,False
mlp,original,F8,0.5414601763380537,0.4770391596733437,False
mlp,original,F16,0.5444643006679447,0.4786487173308463,False
mlp,k1024,F8,0.6950532326639708,0.47871114733667736,False
mlp,k1024,F16,0.6658973166680274,0.4832503936631838,False
