cell,method,original_full_ms,pca_geo_ms,linear_geo_ms,mlp_geo_ms,mlp_full_ms,linear_speedup_vs_pca,linear_speedup_ci95,linear_process_speedups,linear_passes_5pct_gate,linear_modeled_break_even_vs_pca,mlp_speedup_vs_pca,mlp_speedup_ci95,mlp_process_speedups,mlp_passes_5pct_gate,mlp_modeled_break_even_vs_pca
k4,F8,48.643850505565446,45.092681160895154,51.703770999059394,50.691913665408116,49.95284100247469,0.8721352483499799,"[0.8581000549139106, 0.8731499573670888]","[0.8725762123387352, 0.8724343810185292, 0.8714016459658741]",False,,0.8895438719975993,"[0.8691092351913132, 0.8927674562275721]","[0.8905417714318953, 0.8905769279409261, 0.8875343873880287]",False,
k4,F16,53.49467250198359,47.35305000212975,54.9221346664126,53.400223499920685,52.702099337087326,0.8621851697816164,"[0.8579972288484082, 0.8778826890646301]","[0.8683001060387562, 0.8598319775686587, 0.8584605207639756]",False,,0.8867575245672911,"[0.8798044084995941, 0.9029409349373534]","[0.8938927755602892, 0.8850888767646904, 0.8813590482226981]",False,
k16,F8,51.34755549806869,48.98394233411333,54.302939999615774,53.82980749952063,52.88868400384672,0.9020495452817089,"[0.896826707773594, 0.9236013127617767]","[0.9090600643279967, 0.8986860237111308, 0.8984521112873716]",False,,0.9099780327943685,"[0.9063946901561373, 0.9345426620582761]","[0.9137816705912706, 0.9081075027426438, 0.908051466245859]",False,
k16,F16,55.931297169687845,51.35918649709007,57.304948997625615,56.802603665952724,55.91631216520909,0.896243472779604,"[0.8930024982319498, 0.9016845142529301]","[0.899500239257657, 0.8948851232136207, 0.8943581285816913]",False,,0.9041695834776423,"[0.8953579455278878, 0.9093297664602682]","[0.9063950935380909, 0.9002486436671046, 0.9058792691891425]",False,
k64,F8,62.5214958320915,62.936340997111984,68.44914883307258,67.64315099765857,65.8596939999067,0.919461265334289,"[0.8738958980097739, 0.9412717925124616]","[0.9354275020736653, 0.8859325186563259, 0.936806245891018]",False,,0.930417049898969,"[0.8790569006673844, 0.9755626616929666]","[0.9414685245631189, 0.8979202624546768, 0.9515569357990186]",False,
k64,F16,66.24154583065926,63.313068002268366,69.38844416678573,66.76664832775714,66.76943700100917,0.9124439777044969,"[0.8699213507264566, 0.9300661198281026]","[0.9286115003540427, 0.8856389693408708, 0.9228202828491581]",False,,0.9482738700835308,"[0.9040714174910346, 0.9939631409673689]","[0.9377058047060818, 0.9782714462880125, 0.9317873177908759]",False,
original,F8,64.69680149893975,63.92032032939217,68.24671266561684,67.94401299703168,67.12214266493295,0.9366065826873983,"[0.9049416371901173, 0.9406589397004963]","[0.931967601095388, 0.9399838060965506, 0.9378393109745081]",False,,0.9407792903281221,"[0.9215379226285803, 0.9447459468510806]","[0.9387310813164933, 0.9387518344531884, 0.9448398580156308]",False,
original,F16,66.99587299711614,64.24072449590312,68.89262383144039,68.64655850222334,67.90551133356833,0.9324760899378856,"[0.9244170960153971, 0.9371780993754506]","[0.9373498763295541, 0.9244487652602705, 0.9357133036447495]",False,,0.9358185741215632,"[0.929850247546833, 0.9444698040729043]","[0.9382007788651552, 0.9384335992773943, 0.9309060220796399]",False,
k256,F8,94.33040116224826,94.67852566497943,98.36301766578497,97.56509850073296,96.64851866546087,0.9625418974708096,"[0.9564341760019859, 0.9678656576612575]","[0.9671297149056591, 0.9609448975725369, 0.9595621927873573]",False,,0.9704138787321386,"[0.9658879138785924, 0.9759713558200481]","[0.976811038978638, 0.9659660356415442, 0.9684777042456083]",False,
k256,F16,89.26765099992433,87.99648217003171,91.94899799816388,91.5216140007639,90.65828433328231,0.9570140413252671,"[0.9480075465631144, 0.9803675998518455]","[0.9565396590437201, 0.9656073704713302, 0.9490367873142594]",False,,0.9614830674784345,"[0.9312222261694095, 0.9861214704471738]","[0.9619602741888057, 0.9709448839543837, 0.9516954226903638]",False,
k1024,F8,217.69179033435648,215.33958666259423,218.51101433033668,217.4086901698805,216.06942750319527,0.9854861885225246,"[0.9743435843056447, 0.9923021554397466]","[0.9895107700643848, 0.9885932313690476, 0.9784315927402897]",False,,0.9904828849956757,"[0.9764432285940832, 1.0060421850964005]","[0.9884692501552507, 1.0012451416277335, 0.9819007570795109]",False,
k1024,F16,181.65738116658758,179.6155436653256,183.5130916685254,182.68368449692693,181.49002650413118,0.9787614716325534,"[0.9631674859178229, 0.9845923144481601]","[0.980742481040117, 0.9794316666011953, 0.9761446603212809]",False,,0.9832051732476802,"[0.9783668875945343, 0.9883101688319161]","[0.982591886743676, 0.9817435942944834, 0.9852699583384857]",False,
