cell,method,original_full_ms,pca_geo_ms,proxy_geo_ms,direct_geo_ms,direct_full_ms,proxy_speedup_vs_pca,proxy_speedup_ci95,proxy_process_speedups,proxy_passes_5pct_gate,proxy_modeled_selected_checkpoint_break_even_vs_pca,direct_speedup_vs_pca,direct_speedup_ci95,direct_process_speedups,direct_passes_5pct_gate,direct_modeled_selected_checkpoint_break_even_vs_pca,direct_modeled_full_search_break_even_vs_pca
k4,F8,48.603764002715856,45.1225365056113,51.59819483378669,44.19358833304917,49.89913399913348,0.874498355048361,"[0.836735857171071, 0.8838940794348509]","[0.8729099483975269, 0.8803317508976052, 0.8701721629000644]",False,,1.0210199761458936,"[1.0044043796582582, 1.0319582306890946]","[1.0234355944840139, 1.0080525618066754, 1.0321951563951741]",False,,
k4,F16,53.56791933445493,47.23700066097081,54.354080833339445,46.292155668197665,52.63596816560797,0.8690607942724478,"[0.864417577673618, 0.9013033942621426]","[0.8703818490831691, 0.8653604791247335, 0.8714958551773604]",False,,1.0204104773073301,"[0.9993374758002954, 1.0375410332852568]","[1.03186715607144, 0.9962954616927777, 1.0341773016697102]",False,,
k16,F8,51.12338849964241,48.71852750026543,53.8156986682831,48.1727665028302,52.433472003031056,0.9052846791149858,"[0.9030209885201318, 0.9081948242151822]","[0.9061243680465778, 0.9059700167221156, 0.903756975535129]",False,,1.011329243409825,"[1.0034971698011168, 1.0214781715797412]","[1.0109013281122088, 1.0025880151200868, 1.0207158326873245]",False,,
k16,F16,55.85233916644938,51.22038533105903,56.824349664869565,50.564611325777754,55.54261649861777,0.9013809332291388,"[0.8985542710192217, 0.9042132809461163]","[0.904319777883313, 0.8989505226228118, 0.9009021741497011]",False,,1.012969030871339,"[1.0031590196805495, 1.020165279163921]","[1.0165395662342236, 1.003064656241681, 1.019521139464954]",False,,
k64,F8,61.51906199859999,61.82259867152121,66.65869167045457,62.81893150056324,64.78967933314077,0.9274499262175455,"[0.8803876594915887, 0.9480172989606079]","[0.9434366710055591, 0.898097999039956, 0.9409756206288695]",False,,0.9841396087892216,"[0.9331350536356791, 1.0375278252491196]","[1.0037703082514182, 0.9518113621758889, 0.9971304267690971]",False,,
k64,F16,64.99418616537393,62.398274167208,67.97094366629608,61.14604466711171,65.82564083025015,0.9180139453933853,"[0.8777442429104682, 0.9367997937356706]","[0.9312404193948746, 0.8902469505926286, 0.9325249940825333]",False,,1.0204793213839687,"[0.9751036531849849, 1.066057099578601]","[1.007679453419493, 1.0534813395980056, 1.0032586471253875]",False,,
original,F8,63.561359832723,63.19316616281867,66.91249366607128,62.88522299776862,66.5540128320572,0.9444150516671218,"[0.9381847410065317, 0.950744016435231]","[0.9484820372315023, 0.9409623504327822, 0.9438548421637402]",False,,1.0048969082142076,"[0.9985501723294739, 1.0122666320015923]","[1.0072976155909839, 1.0074430713618026, 1.0000074079099786]",False,,
original,F16,66.52189816668397,63.62479733555422,68.09948900142142,63.550441836317376,67.10616733228865,0.9342918466572664,"[0.9183757163134986, 0.9459574675198582]","[0.9446658550304713, 0.9294513047255062, 0.9289671426025378]",False,,1.0011700233245955,"[0.9932849168908544, 1.0095425433849263]","[1.0066674081412235, 0.9999565848801539, 0.9969614763732161]",False,,
k256,F8,90.33651816813897,91.1884759965081,94.05468049711392,90.9151888336055,93.16753416836339,0.9695261896010187,"[0.9583924328411813, 0.9787607800792651]","[0.9711035037591256, 0.9724810787468898, 0.965028935363361]",False,,1.0030059571608303,"[0.9958862964366287, 1.0120004230980224]","[0.9968881628828169, 1.0027569980188973, 1.0093115855370804]",False,,
k256,F16,84.69097383446449,83.1417843340508,86.75147883332102,83.22119816148188,85.47388866766899,0.9583903980910151,"[0.950776489123938, 0.9684292976015529]","[0.9546850830206836, 0.9611463909558037, 0.9592315443222379]",False,,0.9990457500109889,"[0.9904290577174558, 1.0091309489075118]","[0.9980341724011855, 0.9939217520292232, 1.0052464453220702]",False,,
k1024,F8,205.8151025000067,204.03823866702928,205.9757316649969,202.81925050221616,204.20049533277052,0.9905935860389669,"[0.9827164969940035, 1.0014022334357011]","[0.9847504718635959, 0.9883207812910749, 0.9987813726424787]",False,,1.006010219255789,"[0.9943840764427044, 1.0159256604601759]","[0.9989419498652048, 1.003872983693328, 1.0153170222964438]",False,,
k1024,F16,166.17863350499343,165.5070248307311,167.24910600169096,164.79780150014753,165.48266016858784,0.9895839134055386,"[0.9725095947789815, 1.0075485435371605]","[1.0095514846925835, 0.9801903240093903, 0.9800704326186803]",False,,1.004303597039084,"[0.9903369980022267, 1.0241848282574815]","[1.0273335290583738, 0.9897662925434686, 0.9971327101115489]",False,,
